scenario,method,runs,ring_pass_rate,collision_free_rate,endpoint_feasibility_rate,tracking_rmse_mean_m,tracking_rmse_p95_m,maximum_tracking_error_p95_m,crossing_time_error_mean_s,motor_saturation_mean,maximum_tilt_p95_degrees,minimum_barrier
moderate_uncertainty,boundary_cfm_steps8,2,1.0,1.0,1.0,0.32540191858543677,0.3941265217441855,0.8444367813988949,0.22606207195234185,0.008232529375386518,56.55492166964879,0.21889108131032795
moderate_uncertainty,projected_velocity_steps8,2,1.0,1.0,1.0,0.10336517795047759,0.1051172067287057,0.11944725713138356,0.08826436825351247,0.0,33.29258807902915,0.1999779230731373
moderate_uncertainty,proposed_robust_steps1,2,1.0,1.0,1.0,0.10921347085415246,0.11044464302348553,0.15036648412752474,0.06976715223405572,0.0,15.61477177525896,0.19490084720131262
moderate_uncertainty,proposed_robust_steps8,2,1.0,1.0,1.0,0.10833869409629487,0.108957414612084,0.1443711787110134,0.07089189004513896,0.0,11.367540868156613,0.20123122612256542
moderate_uncertainty,quintic_skeleton,2,1.0,1.0,1.0,0.10781802427092635,0.10836496469394816,0.1383596487891478,0.0685185392459382,0.0,10.310028624855656,0.19439515081723907
nominal,boundary_cfm_steps8,2,1.0,1.0,1.0,0.3028684562584795,0.3871101561549574,0.8495844528334381,0.2049150869249854,0.009121418264275406,59.83886668806999,0.223315541310353
nominal,projected_velocity_steps8,2,1.0,1.0,1.0,0.05084943012259588,0.05553888221939457,0.07045483468005673,0.06197927997099839,0.0,33.9963449193294,0.20904138706952088
nominal,proposed_robust_steps1,2,1.0,1.0,1.0,0.0617612466789635,0.06466210901004286,0.0994978201410366,0.04794255172905304,0.0,16.120654355670663,0.20409075767842946
nominal,proposed_robust_steps8,2,1.0,1.0,1.0,0.0599297590988082,0.06454073335362406,0.09881175387676235,0.04824607830748495,0.0,11.98320844154622,0.21299307120708708
nominal,quintic_skeleton,2,1.0,1.0,1.0,0.059364650565643766,0.06425771135088415,0.0966875849830864,0.047013125797069844,0.0,9.667379702962887,0.20378549118697725
severe_uncertainty,boundary_cfm_steps8,2,1.0,1.0,0.0,0.3808313527361718,0.4350783240983505,0.8663977113162538,0.24892330521883554,0.006551329622758194,57.013722005371385,0.1321549532079702
severe_uncertainty,projected_velocity_steps8,2,1.0,1.0,0.0,0.1828109867753414,0.19318575953813194,0.2147977665479987,0.1153049029004396,0.0,33.524970117916205,0.16916228740618594
severe_uncertainty,proposed_robust_steps1,2,1.0,1.0,0.0,0.18628274802231898,0.19260377067052906,0.22446637754077858,0.09093662494219878,0.0,17.182975706765482,0.16360237525824076
severe_uncertainty,proposed_robust_steps8,2,1.0,1.0,0.0,0.18545133967649402,0.19223084812933794,0.22375801301640152,0.0928550244497186,0.0,14.066127029015062,0.16694214215252048
severe_uncertainty,quintic_skeleton,2,1.0,1.0,0.0,0.1848362570480766,0.1917402693669721,0.22178783388259105,0.08950429663733472,0.0,12.833486659127962,0.16328306630399528
