scenario,seed,method,trajectory_index,tracking_rmse_m,maximum_tracking_error_m,ring_passed,collision_free,endpoint_feasible,minimum_barrier,crossing_clearance_m,crossing_time_error_s,motor_saturation_fraction,maximum_tilt_degrees,wind_acceleration_mps2,mass_scale,motor_tau_scale,command_delay_s
nominal,701,quintic_skeleton,0,0.053927916359821124,0.08080419231981016,1,1,1,0.20378549118697725,0.30478667821286265,0.04561006366889231,0.0,7.950007066548426,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,1,0.06480138477146641,0.09752355301799567,1,1,1,0.414397144472208,0.4886966547416429,0.04841618792524738,0.0,9.757767736458385,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,0,0.20926656748461522,0.46419800811990813,1,1,1,0.223315541310353,0.3323733866539495,0.1418012100735484,0.011131725417439703,59.97159287377508,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,1,0.39647034503234385,0.8698679499236239,1,1,1,0.34747073472638695,0.4364706068829298,0.2680289637764224,0.0071111111111111115,57.31706915967336,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,0,0.04563892779281956,0.05994774449048129,1,1,1,0.20904138706952088,0.31060255352292515,0.060895188168065495,0.0,26.808577558924835,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,1,0.0560599324523722,0.07100783942687648,1,1,1,0.47369052360782865,0.5332542905635966,0.06306337177393129,0.0,34.374648464613855,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps1,0,0.05853806631109754,0.09950539093223129,1,1,1,0.20409075767842946,0.30515014155145626,0.04643785324346705,0.0,16.349056093223478,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps1,1,0.06498442704682945,0.09935397510833735,1,1,1,0.41476379092000687,0.48905198506503766,0.04944725021463903,0.0,11.781021342167177,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps8,0,0.05480645437123501,0.08842056955701319,1,1,1,0.21299307120708708,0.3141790569022837,0.050177030868717054,0.0,12.049392839272876,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps8,1,0.06505306382638139,0.09935865831464388,1,1,1,0.41994442532198023,0.49289672462949263,0.04631512574625285,0.0,10.725704884739732,0.0,1.0,1.0,0.0
moderate_uncertainty,701,quintic_skeleton,0,0.1084257358520617,0.13856559838110993,1,1,1,0.19439515081723907,0.29511012355884925,0.07975287487060223,0.0,9.878311748542108,0.6000000000000001,0.9929299735411842,0.8297674459331352,0.01
moderate_uncertainty,701,quintic_skeleton,1,0.10721031268979099,0.13444660654186757,1,1,1,0.3063722371654165,0.40228996266705386,0.05728420362127418,0.0,10.332750565714264,0.6,1.04049226266134,0.9608761004086002,0.01
moderate_uncertainty,701,boundary_cfm_steps8,0,0.2490412484090493,0.5365035723669417,1,1,1,0.21889108131032795,0.32545326369563166,0.1785923431826304,0.011131725417439703,53.18855950585769,0.6000000000000001,0.9929299735411842,0.8297674459331352,0.01
moderate_uncertainty,701,boundary_cfm_steps8,1,0.40176258876182425,0.8606437924005766,1,1,1,0.2638980280451239,0.36533791841675056,0.2735318007220533,0.005333333333333333,56.732098625637796,0.6,1.04049226266134,0.9608761004086002,0.01
moderate_uncertainty,701,projected_velocity_steps8,0,0.10141847930800191,0.11912465945089622,1,1,1,0.1999779230731373,0.3010174874156827,0.11046264631490166,0.0,24.742201210248346,0.6000000000000001,0.9929299735411842,0.8297674459331352,0.01
moderate_uncertainty,701,projected_velocity_steps8,1,0.10531187659295327,0.11946423595667237,1,1,1,0.3558725922552756,0.4444085011123571,0.06606609019212328,0.0,33.74260844054393,0.6,1.04049226266134,0.9608761004086002,0.01
moderate_uncertainty,701,proposed_robust_steps1,0,0.1105814399311892,0.15105558456382956,1,1,1,0.19490084720131262,0.29557995887653093,0.08119934063582113,0.0,15.82537520284358,0.6000000000000001,0.9929299735411842,0.8297674459331352,0.01
moderate_uncertainty,701,proposed_robust_steps1,1,0.10784550177711573,0.13727357583773286,1,1,1,0.306049055393187,0.40210124888088383,0.05833496383229031,0.0,11.613306651151206,0.6,1.04049226266134,0.9608761004086002,0.01
moderate_uncertainty,701,proposed_robust_steps8,0,0.10902616133606056,0.14478185045247427,1,1,1,0.20123122612256542,0.3021873992931336,0.08626265220268703,0.0,11.408193268495275,0.6000000000000001,0.9929299735411842,0.8297674459331352,0.01
moderate_uncertainty,701,proposed_robust_steps8,1,0.10765122685652918,0.1365684156232567,1,1,1,0.3105339661572022,0.40589945715659165,0.05552112788759089,0.0,10.595145261722042,0.6,1.04049226266134,0.9608761004086002,0.01
severe_uncertainty,701,quintic_skeleton,0,0.17716513224930378,0.21256545664453413,1,1,0,0.16328306630399528,0.26146734924620507,0.11326831292814354,0.0,12.664146316869642,1.2000000000000002,0.9858599470823686,0.7520930303829865,0.02
severe_uncertainty,701,quintic_skeleton,1,0.1925073818468494,0.22227322215827824,1,1,0,0.19811379992932876,0.300342175328283,0.0657402803465259,0.0,12.842399308720506,1.2,1.0809845253226797,0.9815331757150503,0.02
severe_uncertainty,701,boundary_cfm_steps8,0,0.3205569401115288,0.6383301064198119,1,1,0,0.1597111132644583,0.2611303695067697,0.22024939005996158,0.010435992578849721,48.49472304892985,1.2000000000000002,0.9858599470823686,0.7520930303829865,0.02
severe_uncertainty,701,boundary_cfm_steps8,1,0.4411057653608148,0.8784012694686981,1,1,0,0.1321549532079702,0.2271142516435064,0.2775972203777095,0.0026666666666666666,57.46209037149989,1.2,1.0809845253226797,0.9815331757150503,0.02
severe_uncertainty,701,projected_velocity_steps8,0,0.1712834614833519,0.195716628104422,1,1,0,0.16916228740618594,0.26781758661988264,0.16467355769820458,0.0,24.696744849790225,1.2000000000000002,0.9858599470823686,0.7520930303829865,0.02
severe_uncertainty,701,projected_velocity_steps8,1,0.19433851206733088,0.21580203699239747,1,1,0,0.23621991728797556,0.33911516033187894,0.06593624810267462,0.0,33.98961355308073,1.2,1.0809845253226797,0.9815331757150503,0.02
severe_uncertainty,701,proposed_robust_steps1,0,0.17925938952430776,0.22369210641588594,1,1,0,0.16360237525824076,0.2617651858155875,0.11506665166354857,0.0,17.43410411644451,1.2000000000000002,0.9858599470823686,0.7520930303829865,0.02
severe_uncertainty,701,proposed_robust_steps1,1,0.19330610652033017,0.22450712865261505,1,1,0,0.19760546825511213,0.2998980636037573,0.066806598220849,0.0,12.411535922863967,1.2,1.0809845253226797,0.9815331757150503,0.02
severe_uncertainty,701,proposed_robust_steps8,0,0.17791855250666744,0.21839384396009204,1,1,0,0.16694214215252048,0.26553615228230376,0.12149573879327269,0.0,14.143645649452495,1.2000000000000002,0.9858599470823686,0.7520930303829865,0.02
severe_uncertainty,701,proposed_robust_steps8,1,0.1929841268463206,0.2240403377035757,1,1,0,0.20115407255354384,0.3035537469301625,0.06421431010616452,0.0,12.59327324070386,1.2,1.0809845253226797,0.9815331757150503,0.02
