scenario,method,runs,ring_pass_rate,collision_free_rate,endpoint_feasibility_rate,tracking_rmse_mean_m,tracking_rmse_p95_m,maximum_tracking_error_p95_m,crossing_time_error_mean_s,motor_saturation_mean,maximum_tilt_p95_degrees,minimum_barrier
moderate_uncertainty,boundary_cfm_steps8,72,0.8472222222222222,0.8472222222222222,0.7361111111111112,0.2911999002067103,0.5407520973865563,1.2045139070614417,0.20691913481756694,0.008271206802081129,68.83138752260335,-0.023126455258782194
moderate_uncertainty,projected_velocity_steps8,72,1.0,1.0,0.9583333333333334,0.08526863117767941,0.1264802467891651,0.15249343189752185,0.06980812790920392,0.0,30.032094482184817,0.07829360600237512
moderate_uncertainty,proposed_robust_steps1,72,1.0,1.0,0.9861111111111112,0.08987880531336027,0.13604610269617165,0.1813287716258199,0.05901331990533092,0.0,26.577802229922757,0.11662616036949927
moderate_uncertainty,proposed_robust_steps8,72,1.0,1.0,1.0,0.08816682286836151,0.13164757687915127,0.1738187369080693,0.05811407995244791,0.0,21.053564139530188,0.12157950982223872
moderate_uncertainty,quintic_skeleton,72,1.0,1.0,1.0,0.08749336358781767,0.1302388078744038,0.16544806080936383,0.057285943102171694,0.0,12.307700547927046,0.12547444399175695
nominal,boundary_cfm_steps8,72,0.9166666666666666,0.9166666666666666,0.875,0.2788107653410095,0.48463186438615896,1.1578136828422279,0.2063719184678278,0.008228304709340524,68.81328804754418,-0.008249984392087354
nominal,projected_velocity_steps8,72,1.0,1.0,0.9583333333333334,0.04309529981669521,0.0560599324523722,0.08725639535281901,0.05748629443138287,0.0,30.762135837886802,0.13985378757555667
nominal,proposed_robust_steps1,72,1.0,1.0,1.0,0.05320035191869436,0.06343057733575622,0.11973092251655411,0.05298018936648744,0.0,26.68853619974051,0.1873953960012394
nominal,proposed_robust_steps8,72,1.0,1.0,1.0,0.05031311618927473,0.06358362180962496,0.09674117093432598,0.051165559584769614,0.0,18.278772041769827,0.1902048166454085
nominal,quintic_skeleton,72,1.0,1.0,1.0,0.04892320634566852,0.06394072754579513,0.0957294423733094,0.05032232163910132,0.0,9.757767736458385,0.19530319009562286
severe_uncertainty,boundary_cfm_steps8,72,0.8055555555555556,0.8055555555555556,0.1388888888888889,0.34838527164061833,0.5766509948958889,1.3771495834380338,0.23474838063335152,0.00873329185954628,71.75093352285037,-0.032527693886330394
severe_uncertainty,projected_velocity_steps8,72,1.0,1.0,0.20833333333333334,0.16513026242409357,0.21703449101390182,0.28203451312177014,0.12416149638862395,0.0,40.56533880384603,0.04325633141805737
severe_uncertainty,proposed_robust_steps1,72,1.0,1.0,0.2361111111111111,0.166827125602554,0.21956424152043338,0.29445632450049547,0.09024163176233257,0.0,38.257898887408814,0.055552943811447694
severe_uncertainty,proposed_robust_steps8,72,1.0,1.0,0.2222222222222222,0.16458688261818946,0.2150214204730934,0.2748894103265653,0.09020861547967812,0.0,31.580912128487554,0.06465121540218026
severe_uncertainty,quintic_skeleton,72,1.0,1.0,0.19444444444444445,0.16323175311160926,0.21351554526209204,0.27093946603530616,0.089265171890585,0.0,21.94634173572608,0.06776394006510345
