scenario,seed,method,trajectory_index,tracking_rmse_m,maximum_tracking_error_m,ring_passed,collision_free,endpoint_feasible,minimum_barrier,crossing_clearance_m,crossing_time_error_s,motor_saturation_fraction,maximum_tilt_degrees,wind_acceleration_mps2,mass_scale,motor_tau_scale,command_delay_s
nominal,701,quintic_skeleton,0,0.053927916359821124,0.08080419231981016,1,1,1,0.20378549118697725,0.30478667821286265,0.04561006366889231,0.0,7.950007066548426,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,1,0.06480138477146641,0.09752355301799567,1,1,1,0.414397144472208,0.4886966547416429,0.04841618792524738,0.0,9.757767736458385,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,2,0.04494495856231435,0.06884976527062493,1,1,1,0.365533103132139,0.46137867229232227,0.05300189070630035,0.0,5.237985822492495,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,3,0.04375624890897337,0.06644742194979138,1,1,1,0.27209904589919864,0.37710474181659126,0.05197992275143859,0.0,5.577913106437671,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,4,0.04791500383480349,0.07315471695204842,1,1,1,0.21103143845561517,0.3098270807071426,0.05153324641525181,0.0,6.060838787330985,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,5,0.047412160427519084,0.07199644600619885,1,1,1,0.28443490818943457,0.3831225067866777,0.046128364393795085,0.0,5.845618387507898,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,6,0.0493430489582634,0.0756890591671502,1,1,1,0.26996048368212894,0.3629128469072961,0.054230458702200224,0.0,5.681835145021341,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,7,0.04605335899542778,0.06980645139053977,1,1,1,0.3199972770410562,0.42143939975032396,0.049439718902815066,0.0,5.926353834157091,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,8,0.042604869072401276,0.06497587181798456,1,1,1,0.25774483777308677,0.36456685051776744,0.05369145924069629,0.0,5.45540983149803,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,9,0.06394072754579513,0.0957294423733094,1,1,1,0.21820293501425872,0.3199633218259171,0.04763460147762455,0.0,10.162255155832574,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,10,0.03738315854079106,0.05719232636315195,1,1,1,0.28939616431568865,0.3865670305384804,0.054138559993972546,0.0,4.506221668722979,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,11,0.040618377249946803,0.06225897402484747,1,1,1,0.2253063000054328,0.3312951847948688,0.053787397616347654,0.0,4.611516246469089,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,12,0.04705092872968196,0.07203643051289511,1,1,1,0.20353335986535268,0.2973973363114574,0.05353667721115274,0.0,5.655507094858856,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,13,0.04423254593632481,0.06733124017402094,1,1,1,0.30592174371945746,0.3999012195789754,0.053961089362009496,0.0,5.757218542618387,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,14,0.05995040420790557,0.08936252402402299,1,1,1,0.4501118435378122,0.5063307611719738,0.04348717804563562,0.0,9.425585981861682,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,15,0.0481910410863108,0.07333892030385102,1,1,1,0.38973426441491843,0.4732463107403058,0.048491823458762795,0.0,6.2966278704285665,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,16,0.060015226902992276,0.08968940817459703,1,1,1,0.32873832386025403,0.41471936519508557,0.04404921639423165,0.0,9.694818829131563,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,17,0.05840717396812492,0.08718687836417661,1,1,1,0.32605425691817685,0.421016203685075,0.049501456790792986,0.0,9.320659326467943,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,18,0.04731572373743065,0.07255835741786311,1,1,1,0.4190186675355152,0.4830303860500554,0.05565747228461415,0.0,5.511219381307059,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,19,0.04566421917348957,0.06919938897591814,1,1,1,0.19530319009562286,0.29856100460733237,0.052873425307103705,0.0,6.142715190720647,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,20,0.04185663916554133,0.06421702983400461,1,1,1,0.2137814513713883,0.3224639991183552,0.05267329245283925,0.0,4.890032207405568,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,21,0.04756844110030555,0.07194251722918525,1,1,1,0.30659706023594463,0.403604469094721,0.04652491430410066,0.0,6.66185533363234,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,22,0.04305448853168486,0.06528611578282123,1,1,1,0.37084201830624997,0.44586684970090074,0.04915897631464361,0.0,5.7217427885590295,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,23,0.04814890652872897,0.07281389936970732,1,1,1,0.2576765001411332,0.35550081095580466,0.0482283256179632,0.0,6.61956062675509,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,0,0.20926656748461522,0.46419800811990813,1,1,1,0.223315541310353,0.3323733866539495,0.1418012100735484,0.011131725417439703,59.97159287377508,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,1,0.39647034503234385,0.8698679499236239,1,1,1,0.34747073472638695,0.4364706068829298,0.2680289637764224,0.0071111111111111115,57.31706915967336,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,2,0.18848121201412782,0.4007679592192336,1,1,1,0.34523845447447715,0.45210486338764966,0.12919126052914764,0.003084304318026045,54.98005362935293,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,3,0.21320282994870554,0.36836350152045,1,1,1,0.05247618856445434,0.1143448749723941,0.08020295354328777,0.011801730920535013,56.60979569972166,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,4,0.16292105308056107,0.3103153659121939,1,1,1,0.25969603558977394,0.3657663621725056,0.11222736300966663,0.000182882223847842,52.41007395279711,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,5,0.21525945335482435,0.4910516518857706,1,1,1,0.2136768666424982,0.3162265352827806,0.10104864677771497,0.00794912559618442,68.06643246361853,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,6,0.21719468234224304,0.5107643657718391,1,1,0,0.10141649490413542,0.18646038417420793,0.15437897600700135,0.006688963210702341,49.41827741654359,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,7,0.2763836262661212,0.6425452707526095,1,1,0,0.025364461463645214,0.06355521424719685,0.2097425252580618,0.020748576078112285,65.29968342019217,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,8,0.274145259890721,0.5374434586105867,1,1,1,0.04383274731976486,0.10437661261668296,0.07403306613469818,0.04016516516516516,67.18849130062338,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,9,0.48463186438615896,1.1578136828422279,0,0,1,-0.008249984392087354,nan,nan,0.014801110083256245,54.75344246069306,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,10,0.18104135061643606,0.3787709415167305,1,1,1,0.16686130521399123,0.30106281181071015,0.1684949237527329,0.004219409282700422,47.50740169065832,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,11,0.23504363910747988,0.4417502979126879,1,1,1,0.013568210979826485,0.0384334782302127,0.1584453892292994,0.0006830601092896175,45.93746245119613,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,12,0.23235733434713224,0.4458380404769022,1,1,1,0.032228272746922214,0.08998891855936036,0.24295128436011915,0.004824259131633356,64.70047974524046,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,13,0.35869717650150357,0.7593028337282124,1,1,1,0.021744222848020724,0.052724797953198954,0.17499024708947886,0.011077158135981665,64.45775034336907,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,14,0.3241158185291654,0.9203499369456,1,1,1,0.37943025163363314,0.45660296520562554,0.1708847438518064,0.008365200764818356,41.81359745312179,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,15,0.20845630873758084,0.4127258024675904,1,1,1,0.15325723758141482,0.30515395921319727,0.05854424925127133,0.003837298541826554,44.608828715595685,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,16,0.6713850189821197,1.8968526834089396,0,0,1,-0.002132043342804389,nan,nan,0.014540337711069419,69.9098808142363,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,17,0.3827948078162149,0.7605838407697874,1,1,0,0.2626315488371252,0.3659854751684398,0.3267194847463837,0.0,51.41773294843978,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,18,0.2941961507806116,0.6579647464575763,1,1,1,0.21037215287322375,0.3157655069980172,0.12896424393261618,0.003360215053763441,68.81328804754418,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,19,0.23343991278910797,0.5862335613501867,1,1,1,0.03956092485406018,0.08985063214755995,0.21823408963030433,0.0026041666666666665,51.4179159552814,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,20,0.2603799261699932,0.498037246568294,1,1,1,0.013845526011920337,0.05151152194620995,0.1405064520218673,0.01019385026737968,61.352364380193656,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,21,0.18993778076600754,0.4174072208570882,1,1,1,0.2215405378142355,0.3253773991763317,0.22520638540372762,0.0,42.815089262725614,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,22,0.24506861782654646,0.47666990779411444,1,1,1,0.11082911973550276,0.19305927478790108,1.2215758341811536,0.0003968253968253968,63.04392406999435,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,23,0.2365876314139079,0.5281243727289614,1,1,1,0.12102442622295287,0.2176267536593491,0.03400991373190165,0.009712837837837838,51.390514145821946,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,0,0.04563892779281956,0.05994774449048129,1,1,1,0.20904138706952088,0.31060255352292515,0.060895188168065495,0.0,26.808577558924835,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,1,0.0560599324523722,0.07100783942687648,1,1,1,0.47369052360782865,0.5332542905635966,0.06306337177393129,0.0,34.374648464613855,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,2,0.041509754206594154,0.05861546314629327,1,1,1,0.3192679523939066,0.4270911463199017,0.060101350817832966,0.0,11.308402882255598,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,3,0.038386349778869344,0.05864407795170601,1,1,1,0.239969628777455,0.34680124931774325,0.04414123802014247,0.0,14.826510141652546,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,4,0.042256569185153685,0.06477382859547878,1,1,1,0.1638208678369289,0.25972207928029306,0.06411372218378553,0.0,13.177307100807793,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,5,0.041661313703405346,0.06514921895981904,1,1,1,0.25662406076130867,0.3586640709543829,0.06219702234494573,0.0,17.457585394656515,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,6,0.04467480334303683,0.06310866485247177,1,1,1,0.24576007416869855,0.3405985708038539,0.06754227093039367,0.0,16.84039721935314,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,7,0.04066479631674622,0.06121293819116269,1,1,1,0.2966411997677244,0.40142353642851863,0.04634015639251965,0.0,13.4336487321245,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,8,0.03629725830112168,0.06260196278802381,1,1,1,0.23431807703385168,0.3424869699697462,0.04191172314563962,0.0,18.28288817182587,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,9,0.057741514786604886,0.09208833702185436,1,1,0,0.24714851165349108,0.3510720222148774,0.04042222787420613,0.0,27.167893501269788,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,10,0.033017625265725256,0.044798797991257064,1,1,1,0.3107673266188942,0.40853500257484127,0.06693138996935932,0.0,14.611046669844304,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,11,0.03575389523194772,0.054116753333346285,1,1,1,0.23282414342718952,0.3465232871544094,0.06125792954366949,0.0,12.467097364523317,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,12,0.04244192678271326,0.05835498243458235,1,1,1,0.15273588507174257,0.24257603970323194,0.0704600147070531,0.0,10.438342952301651,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,13,0.039430090477743915,0.05960492782790307,1,1,1,0.3249910728069204,0.41688180651066387,0.043369843091135785,0.0,15.089789373206125,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,14,0.0528786700440537,0.0721718775436893,1,1,1,0.5355939406005179,0.5649114433281586,0.08641651527385519,0.0,23.535626505126178,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,15,0.043572076383606946,0.06495890578110333,1,1,1,0.37893335810841866,0.46506407193442245,0.04987964689633406,0.0,12.204968807044365,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,16,0.05214253895258437,0.08725639535281901,1,1,1,0.3539164346055698,0.43688462907669606,0.03372282227497658,0.0,30.762135837886802,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,17,0.05014767614558004,0.07271372751996581,1,1,1,0.38538609070052243,0.4731002208810602,0.07505853980979449,0.0,28.55128764544269,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,18,0.04234115607971708,0.0649383808719523,1,1,1,0.31851479561498286,0.4029426783742749,0.062189799506478405,0.0,9.875681932249885,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,19,0.040555235575631704,0.05602546927747943,1,1,1,0.19776407987731653,0.30223563262246783,0.052369495948264344,0.0,11.431441777606588,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,20,0.03725242902780042,0.05261729812785673,1,1,1,0.13985378757555667,0.24224638605583632,0.0529419045337951,0.0,24.53097137579455,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,21,0.0392319177252594,0.05602647070559841,1,1,1,0.2273583569123438,0.33088364826365074,0.06232868963848337,0.0,21.63034401402005,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,22,0.035381102413966296,0.048844187477614126,1,1,1,0.20694972556439284,0.3020455170461633,0.048772419961746305,0.0,17.580520669645548,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,23,0.04524963562763085,0.07055297387290563,1,1,1,0.25764258804227846,0.3588253127401256,0.06324378354678073,0.0,13.306319290493512,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps1,0,0.05853806631109754,0.09950539093223129,1,1,1,0.20409075767842946,0.30515014155145626,0.04643785324346705,0.0,16.349056093223478,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps1,1,0.06498442704682945,0.09935397510833735,1,1,1,0.41476379092000687,0.48905198506503766,0.04944725021463903,0.0,11.781021342167177,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps1,2,0.04677524405936535,0.08071185450220697,1,1,1,0.36322683115401005,0.45939776180439934,0.05000258362284615,0.0,13.13232259936389,0.0,1.0,1.0,0.0
