scenario,seed,method,trajectory_index,tracking_rmse_m,maximum_tracking_error_m,ring_passed,collision_free,endpoint_feasible,minimum_barrier,crossing_clearance_m,crossing_time_error_s,motor_saturation_fraction,maximum_tilt_degrees,wind_acceleration_mps2,mass_scale,motor_tau_scale,command_delay_s
nominal,701,quintic_skeleton,0,0.0539239249540075,0.08100548501219446,1,1,1,0.20378149417518782,0.3047818196770786,0.04550060525414601,0.0,8.230393071553479,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,1,0.06480142325422969,0.09789439981759174,1,1,1,0.41441275453891213,0.48870867656678724,0.04834188349040813,0.0,10.056391594451638,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,2,0.044943396281843837,0.06881298415131679,1,1,1,0.36554653955038846,0.46139335720579266,0.053011148156138166,0.0,5.349098579474778,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,3,0.04375351897072891,0.06649799281577494,1,1,1,0.2721004971860018,0.3771004483447554,0.05185201554209096,0.0,5.756968679343786,0.0,1.0,1.0,0.0
nominal,701,quintic_skeleton,4,0.04791479524449036,0.07327516272674109,1,1,1,0.2110462354012111,0.30984210402358026,0.05151239153970755,0.0,6.214896682199742,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,0,0.23228713613510663,0.4987681544369227,1,1,1,0.18039986862695304,0.29186763807202687,0.14932823164198972,0.011827458256029684,65.81102372475058,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,1,0.39495317213993836,0.8651292214677939,1,1,1,0.34860678752880225,0.4373565788477418,0.2662657304135765,0.01,61.23392187655795,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,2,0.2178156671868404,0.46193212845017617,1,1,1,0.323184356424445,0.4403470493661121,0.1318797135043024,0.005140507196710075,59.54835300333564,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,3,0.2298200849622899,0.3813091059488944,1,1,1,0.04826875475643638,0.10739179564274376,0.08281172367775236,0.015932336742722267,58.95201568478779,0.0,1.0,1.0,0.0
nominal,701,boundary_cfm_steps8,4,0.1796423022950383,0.31976491454820316,1,1,1,0.2612501146158889,0.36824276369176173,0.11156084863672477,0.0005486466715435259,52.215840349718185,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,0,0.050681527425130636,0.07191237193428086,1,1,1,0.20124735600132998,0.3028250578379569,0.06693246890427407,0.0,34.42515966953013,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,1,0.059949520564000665,0.07772701065962585,1,1,1,0.4794360356285769,0.5365302392367761,0.05595240029787929,0.0,36.10746875599994,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,2,0.04324664738798951,0.06382923993003639,1,1,1,0.3135629611864516,0.4240567469314177,0.06205626762487748,0.0,13.653415523620307,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,3,0.04076785360935092,0.06537489163167844,1,1,1,0.2445999428086401,0.35127924912124553,0.04353048376837565,0.0,17.705959793087636,0.0,1.0,1.0,0.0
nominal,701,projected_velocity_steps8,4,0.04264304298708214,0.06638205903575473,1,1,1,0.16474084588341936,0.26083176305687705,0.0656860327804365,0.0,18.83119929223638,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps1,0,0.06454380949323521,0.10941585027426101,1,1,1,0.20424950625147192,0.3053127308427261,0.046828356877190114,0.0,22.66498314781188,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps1,1,0.06501608213339789,0.09890343368245745,1,1,1,0.414433038951438,0.48885355847667467,0.0491852801088446,0.0,12.328044218375815,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps1,2,0.048793669776567974,0.0804812910232051,1,1,1,0.36312602906948777,0.45950300477581274,0.049745812566143854,0.0,16.68106062782505,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps1,3,0.04959075856338076,0.09507381541190507,1,1,1,0.2793340698303435,0.3833514256250821,0.06116083592010346,0.0,18.898989853578673,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps1,4,0.048713962581951646,0.08270058736162862,1,1,1,0.2152427995696105,0.31411748207614587,0.050975076972026745,0.0,13.330512863939406,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps8,0,0.05554000418869263,0.09023670103497586,1,1,1,0.21291461278977683,0.3140926448199898,0.050470007864831246,0.0,16.396270258899694,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps8,1,0.06501704746875446,0.09969149627159217,1,1,1,0.41953596134129517,0.4926162389328069,0.046007920596733864,0.0,11.270925125070038,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps8,2,0.04735655334932433,0.07804457518793852,1,1,1,0.39036095041315366,0.48105124184881365,0.05428620634064618,0.0,14.972397620469424,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps8,3,0.04585245628425585,0.08035566801498868,1,1,1,0.26384427766143587,0.36937629472877526,0.053124572511415113,0.0,11.441767682801931,0.0,1.0,1.0,0.0
nominal,701,proposed_robust_steps8,4,0.04816631381271526,0.08447414655958847,1,1,1,0.22299246887881818,0.3217936912682964,0.051086080907396525,0.0,13.63387037588001,0.0,1.0,1.0,0.0
moderate_uncertainty,701,quintic_skeleton,0,0.9804345427976743,2.9387213171586213,1,1,0,0.11941054227379766,0.2092692648598951,0.010103283807662677,0.0,71.40922189765472,0.6000000000000001,1.0496797327888572,1.1698774952913884,0.01
moderate_uncertainty,701,quintic_skeleton,1,0.1982555193296618,0.6399955258822311,1,1,0,0.36165050827119316,0.44924366163171103,0.007317055743965906,0.0,56.69505993675415,0.5999999999999999,1.0428691918971529,0.9430236606502947,0.01
moderate_uncertainty,701,quintic_skeleton,2,0.5301631528746273,1.5771478581171106,1,1,0,0.34307404009885434,0.44666122873065767,0.00788326038839715,0.0,58.73245338073659,0.6,1.0025486804814654,0.9255104958775928,0.01
moderate_uncertainty,701,quintic_skeleton,3,0.15937297385436502,0.46431236888291105,1,1,0,0.19170754731570736,0.2980101508570145,0.07728834842961385,0.0,44.15419782712421,0.6,0.9604078005227933,0.8232267572088567,0.01
moderate_uncertainty,701,quintic_skeleton,4,1.132945342758194,3.2082394825606184,1,1,0,0.27355063061033114,0.37387579415204947,0.0036930370224386166,0.0,67.7422901352918,0.6000000000000001,1.033014564038184,1.0576708922465405,0.01
moderate_uncertainty,701,boundary_cfm_steps8,0,0.7132228720207201,1.3556660364141724,0,0,0,-0.03308033978148815,nan,nan,0.016001855287569575,87.7461095139533,0.6,0.9965673539586223,1.0085379500219702,0.01
moderate_uncertainty,701,boundary_cfm_steps8,1,0.3919881929400427,0.7586701902571651,1,1,0,0.2618515267798941,0.36364951122975625,0.22593418880495442,0.008,70.07795449623477,0.5999999999999999,1.0457338880354292,0.9233799128339655,0.01
moderate_uncertainty,701,boundary_cfm_steps8,2,1.5080687345577621,3.7364716148401644,1,1,0,0.021396812431759525,0.11733542745331843,0.32251457876841716,0.019019876627827278,85.39178480806825,0.6,1.0476500101104544,1.1801737523261475,0.01
moderate_uncertainty,701,boundary_cfm_steps8,3,1.273674424707276,2.18394072090904,0,0,0,-0.009050839656097508,nan,nan,0.03953579858379229,80.9223607757641,0.6,0.9917160407482831,1.044983712559938,0.01
moderate_uncertainty,701,boundary_cfm_steps8,4,0.6232742077109256,1.6093202975647376,1,1,0,0.2590556847262956,0.38181440766998986,0.06018216435282797,0.006583760058522311,69.14550101283825,0.5999999999999999,1.0173264396257695,1.0618240917970487,0.01
moderate_uncertainty,701,projected_velocity_steps8,0,1.1780174359765831,2.539733068567866,0,0,0,-0.031967951508958495,nan,nan,0.0,65.32225545698252,0.6000000000000001,0.9983324929434312,0.9957909559064907,0.01
moderate_uncertainty,701,projected_velocity_steps8,1,1.012794247921958,1.6255405752663648,0,1,0,0.05369292797496398,nan,nan,0.0,77.0275607390113,0.6000000000000001,1.0171751127064375,1.0952281167629152,0.01
moderate_uncertainty,701,projected_velocity_steps8,2,1.6928259119085236,3.2684248302670476,0,0,0,-0.02750148465647204,nan,nan,0.0,65.82783424945994,0.6,0.9667674724825216,1.0119411671998317,0.01
moderate_uncertainty,701,projected_velocity_steps8,3,0.5241616014691319,1.1777030643839672,1,1,0,0.009026299112147394,0.028219391048109443,0.21105785076514927,0.0,62.151597886889434,0.6,0.9557473241626454,0.8896936500746042,0.01
moderate_uncertainty,701,projected_velocity_steps8,4,1.7354718932084687,3.660700248770117,1,1,0,0.20842991482763717,0.3825490100800182,0.01326328278490907,0.0,66.99599802513588,0.6000000000000001,1.0223939181967563,1.0624745090122398,0.01
moderate_uncertainty,701,proposed_robust_steps1,0,0.2344662968053715,0.5147237411976315,1,1,0,0.21308402656071132,0.3146482199151864,0.0741530302930884,0.0,53.87108077972727,0.6,0.9768151637094276,0.8668338024549869,0.01
moderate_uncertainty,701,proposed_robust_steps1,1,1.166449941174299,3.1438679931307845,1,1,0,0.25052870861528104,0.36955278826141325,0.08320905585701066,0.0,66.48299682938564,0.6,0.957854217530855,1.095503212757155,0.01
moderate_uncertainty,701,proposed_robust_steps1,2,1.6044926861704492,4.068884211396264,1,1,0,0.19375115432836823,0.32402599170022134,0.015592378559586617,0.0,68.91743043766539,0.6,1.0492831272137368,1.1096389913089206,0.01
moderate_uncertainty,701,proposed_robust_steps1,3,0.9091240936219996,2.495508134991662,1,1,0,0.20559826840290144,0.3356840276678417,0.10890172546708055,0.0,63.525103696482184,0.6,0.9823385292248689,1.0236757470943743,0.01
moderate_uncertainty,701,proposed_robust_steps1,4,1.0963173100680546,2.5765083305947956,1,1,0,0.1554854821965505,0.28423394770102983,0.043604610730772375,0.0,64.18231958428076,0.5999999999999999,0.9841108638770699,0.9665106459222159,0.01
moderate_uncertainty,701,proposed_robust_steps8,0,0.14309640057909692,0.2793501727836265,1,1,0,0.290074053620084,0.3867421652819006,0.08904744843700341,0.0,45.944002425099875,0.6,0.9663484022376264,0.8357165123019119,0.01
moderate_uncertainty,701,proposed_robust_steps8,1,0.07736909066271543,0.14343515986890612,1,1,0,0.35492916536658203,0.44268360725469236,0.04207110817679949,0.0,38.87873152796264,0.6,1.011689871131437,0.8209511373771953,0.01
moderate_uncertainty,701,proposed_robust_steps8,2,0.5754911233168586,1.4108690038148106,1,1,0,0.23573929226342175,0.35583149743121306,0.14978967800153153,0.0,56.840651390312374,0.6000000000000001,0.9638130768223507,0.8781743130002058,0.01
moderate_uncertainty,701,proposed_robust_steps8,3,0.9975314842764821,2.5634998352476885,1,1,0,0.04606300592016649,0.16505147345837395,0.20721479628293737,0.0,69.37479529610748,0.6,0.9990668053361847,1.0958110803723844,0.01
moderate_uncertainty,701,proposed_robust_steps8,4,0.3050839514813077,0.8342797163567875,1,1,0,0.1966948446833373,0.2956542742806504,0.008374295071465365,0.0,55.02044511029611,0.6,0.9607744287255937,0.8268153600350784,0.01
severe_uncertainty,701,quintic_skeleton,0,8.551716182525354,20.182535996023564,0,1,0,0.8183936043002045,nan,nan,0.30194805194805197,146.91681036354655,1.2000000000000002,1.0993594655777146,1.3472856167599296,0.02
severe_uncertainty,701,quintic_skeleton,1,5.841275796101663,14.658063702786217,0,1,0,0.13107177786541457,nan,nan,0.3015555555555556,147.47166430766632,1.1999999999999997,1.0857383837943055,0.9502914061380157,0.02
severe_uncertainty,701,quintic_skeleton,2,10.738131963178715,24.03535877110104,0,1,0,0.9395440111238287,nan,nan,0.26936257710760797,157.5459668596993,1.2,1.005097360962931,0.9196433677857874,0.02
severe_uncertainty,701,quintic_skeleton,3,3.1340447552988446,5.473825029396836,0,1,0,0.804623330975229,nan,nan,0.0,77.77426427568803,1.2,0.9208156010455867,0.7406468251154992,0.02
severe_uncertainty,701,quintic_skeleton,4,10.398542964858192,24.927129472379473,0,1,0,0.6919456086027456,nan,nan,0.25585223116313094,153.59107710831373,1.2000000000000002,1.0660291280763683,1.1509240614314458,0.02
severe_uncertainty,701,boundary_cfm_steps8,0,3.7607589066438774,9.786805430920893,0,1,0,0.5547604854822266,nan,nan,0.2511595547309833,135.93396319733736,1.2,0.9931347079172446,1.0649414125384478,0.02
severe_uncertainty,701,boundary_cfm_steps8,1,4.296779281904565,11.834971286212632,0,1,0,1.3130174817757012,nan,nan,0.2637777777777778,175.5617003207493,1.1999999999999997,1.0914677760708587,0.9159148474594394,0.02
severe_uncertainty,701,boundary_cfm_steps8,2,16.10903828120112,33.68529506255435,0,1,0,3.419063075597391,nan,nan,0.44568197395476356,165.76663526401543,1.2,1.0953000202209087,1.3653040665707579,0.02
severe_uncertainty,701,boundary_cfm_steps8,3,8.657808457192589,21.353376715224858,0,1,0,1.6931271043138887,nan,nan,0.29878048780487804,153.33018053418,1.2,0.9834320814965664,1.1287214969798913,0.02
severe_uncertainty,701,boundary_cfm_steps8,4,9.463368990814821,19.386820738582703,0,1,0,0.42943669403000445,nan,nan,0.37179956108266277,170.5458251395863,1.1999999999999997,1.034652879251539,1.1581921606448353,0.02
severe_uncertainty,701,projected_velocity_steps8,0,5.470115068555054,12.808215502262911,0,1,0,0.8283253644141663,nan,nan,0.16906307977736548,156.84884190803757,1.2000000000000002,0.9966649858868624,1.0426341728363586,0.02
severe_uncertainty,701,projected_velocity_steps8,1,10.42658930830696,21.790602281272534,0,1,0,2.03299389167128,nan,nan,0.45911111111111114,161.80513022176157,1.2000000000000002,1.034350225412875,1.2166492043351016,0.02
severe_uncertainty,701,projected_velocity_steps8,2,9.87850065345684,19.98307629550493,0,1,0,0.7415069009855443,nan,nan,0.4035298149417409,172.68661351497732,1.2,0.9335349449650432,1.0708970425997055,0.02
severe_uncertainty,701,projected_velocity_steps8,3,4.968624646975912,10.90684820769686,0,1,0,1.3295992967605672,nan,nan,0.16129032258064516,130.24578024355864,1.2,0.9114946483252908,0.8569638876305572,0.02
severe_uncertainty,701,projected_velocity_steps8,4,6.077259865826974,11.07277051410653,0,1,0,0.135561665378861,nan,nan,0.376188734455011,160.57798659294795,1.2000000000000002,1.0447878363935124,1.1593303907714196,0.02
severe_uncertainty,701,proposed_robust_steps1,0,3.2225164541460845,7.30860637584308,0,1,0,0.5270111357806524,nan,nan,0.06818181818181818,137.45610378541056,1.2,0.9536303274188552,0.8169591542962268,0.02
severe_uncertainty,701,proposed_robust_steps1,1,6.4129544626934125,14.9482042515587,0,1,0,1.9857625084385808,nan,nan,0.1922222222222222,160.68031969981624,1.2,0.91570843506171,1.2171306223250211,0.02
severe_uncertainty,701,proposed_robust_steps1,2,14.853368321005814,34.47038911212438,0,1,0,1.4784021041351376,nan,nan,0.40815627141877997,159.39467400042622,1.2,1.0985662544274735,1.241868234790611,0.02
severe_uncertainty,701,proposed_robust_steps1,3,8.116848591726066,18.01544596215701,0,1,0,2.2920382491221085,nan,nan,0.3597560975609756,172.74194701206497,1.2,0.9646770584497377,1.0914325574151549,0.02
severe_uncertainty,701,proposed_robust_steps1,4,8.142244567855787,18.382952884236055,0,1,0,1.0944259754739776,nan,nan,0.2728602779809802,136.4757874506931,1.1999999999999997,0.9682217277541398,0.9913936303638778,0.02
severe_uncertainty,701,proposed_robust_steps8,0,1.7965382851138794,3.970514080488601,0,1,0,0.3590141122042016,nan,nan,0.011131725417439703,90.73130061919929,1.2,0.932696804475253,0.7625038965283458,0.02
severe_uncertainty,701,proposed_robust_steps8,1,1.6589038261115487,4.124257728757105,1,1,0,0.014178688721318632,0.07986142079870107,0.06693685144919614,0.0033333333333333335,80.80340507529081,1.2,1.023379742262874,0.7366644904100915,0.02
