scenario,method,runs,ring_pass_rate,collision_free_rate,endpoint_feasibility_rate,tracking_rmse_mean_m,tracking_rmse_p95_m,maximum_tracking_error_p95_m,crossing_time_error_mean_s,motor_saturation_mean,maximum_tilt_p95_degrees,minimum_barrier
moderate_uncertainty,boundary_cfm_steps8,3,1.0,1.0,1.0,0.26842336337878586,0.31366761948739047,0.6966378429170986,0.20981414821465924,0.007196039321565612,60.183168004608305,0.28555164407828215
moderate_uncertainty,projected_velocity_steps8,3,1.0,1.0,1.0,0.09898304818539032,0.14212803399002116,0.16607441374601906,0.0709929937285001,0.0,36.012958337669495,0.1461349757732492
moderate_uncertainty,proposed_robust_steps1,3,1.0,1.0,1.0,0.07986228452830559,0.1105914342122331,0.1485370315220347,0.0527158874924587,0.0,20.74183330253297,0.16288697098906363
moderate_uncertainty,proposed_robust_steps8,3,1.0,1.0,1.0,0.057387180442562025,0.08632258871849262,0.10658289881044894,0.020458973271904785,0.0,16.916601931332256,0.1957716681914459
moderate_uncertainty,quintic_skeleton,3,1.0,1.0,1.0,0.0646136455424523,0.07136367895901201,0.0851017041960682,0.015706922517599864,0.0,8.080050912208431,0.1555256646031847
nominal,boundary_cfm_steps8,3,1.0,1.0,1.0,0.26473937484369564,0.377749967277571,0.8293009557432524,0.17967381145970615,0.007109046948858953,59.70614050236491,0.223315541310353
nominal,projected_velocity_steps8,3,1.0,1.0,1.0,0.047736204817261964,0.05501783198641694,0.06990182993323696,0.06135330358660992,0.0,33.61804137404495,0.20904138706952088
nominal,proposed_robust_steps1,3,1.0,1.0,1.0,0.05676591247243079,0.06433979097325626,0.0994902493498419,0.04862922902698408,0.0,16.027382743837517,0.20409075767842946
nominal,proposed_robust_steps8,3,1.0,1.0,1.0,0.05541805900090771,0.06402840288086675,0.09826484943888081,0.05045722740389177,0.0,12.911943102711215,0.21299307120708708
nominal,quintic_skeleton,3,1.0,1.0,1.0,0.05455808656453396,0.06371403793030188,0.09585161694817712,0.04900938076681335,0.0,9.57699166946739,0.20378549118697725
severe_uncertainty,boundary_cfm_steps8,3,1.0,1.0,0.0,0.3187518694301606,0.33887578702532517,0.7127386176580005,0.24121821329355608,0.007898231309471886,62.691929855059655,0.2200258287789256
severe_uncertainty,projected_velocity_steps8,3,1.0,1.0,0.3333333333333333,0.19768983556372563,0.2771209178843753,0.33914295747917905,0.09656485212939137,0.0,38.86277619057683,0.08093945305544217
severe_uncertainty,proposed_robust_steps1,3,1.0,1.0,0.3333333333333333,0.14886724914322821,0.19214340521627868,0.23880877789846613,0.08354107544076861,0.0,28.06751041253087,0.12348629997852714
severe_uncertainty,proposed_robust_steps8,3,1.0,1.0,0.6666666666666666,0.12114635117790422,0.1556402950657764,0.17505463968439935,0.028317519917793188,0.0,22.30315710408214,0.18136404548901944
severe_uncertainty,quintic_skeleton,3,1.0,1.0,0.0,0.1466731241330418,0.15857741174308823,0.19807173459191552,0.020496942949006502,0.0,15.896773017335006,0.09980984867937517
