method,maximum_tracking_error_m,ring_pass_rate_mean,ring_pass_rate_std,collision_free_rate_mean,collision_free_rate_std,dynamic_feasibility_rate_mean,dynamic_feasibility_rate_std,mean_minimum_barrier_mean,mean_minimum_barrier_std,minimum_barrier_mean,minimum_barrier_std
projected_velocity_steps8,0.0,1.0,0.0,1.0,0.0,0.7083333333333334,0.04302789490067267,0.2873980207051972,0.005402297104753132,0.11082397102709884,0.008057508125135197
projected_velocity_steps8,0.005,1.0,0.0,1.0,0.0,0.7057291666666666,0.052018188425620254,0.2872198253261285,0.005642619148984273,0.11039928730032085,0.007883034084285503
projected_velocity_steps8,0.01,1.0,0.0,1.0,0.0,0.7109375,0.04133986423538423,0.28733700283369273,0.005189012958836957,0.11167645812980236,0.006585471932013124
projected_velocity_steps8,0.02,1.0,0.0,1.0,0.0,0.6979166666666666,0.05915529526875286,0.28635550677896937,0.005745849928661923,0.11371409264401948,0.011247328791137563
projected_velocity_steps8,0.04,1.0,0.0,1.0,0.0,0.5390625,0.028168369339562415,0.2827654284595013,0.003948974010727259,0.10793422370425622,0.009441419777373521
projected_velocity_steps8,0.06,1.0,0.0,1.0,0.0,0.296875,0.0546875,0.27671997875381077,0.007918410840085292,0.08882857437155123,0.022683574337986193
projected_velocity_steps8,0.08,1.0,0.0,1.0,0.0,0.08072916666666667,0.03522851369392886,0.26749110608002585,0.00497538294442801,0.08850418684784465,0.02435342846974158
proposed_robust_steps1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.31366107674968785,0.00021658699010906838,0.14314310649946316,0.001275259962244568
proposed_robust_steps1,0.005,1.0,0.0,1.0,0.0,1.0,0.0,0.3134363958334127,0.0002464043627747055,0.14151768941357687,0.0015351449016398132
proposed_robust_steps1,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.3134386943716101,0.0004157670354532565,0.14507514854971468,0.005987016014359304
proposed_robust_steps1,0.02,1.0,0.0,1.0,0.0,0.953125,0.013531646934131853,0.3128018379306619,7.27442327328667e-05,0.137855849475912,0.002620038726436782
proposed_robust_steps1,0.04,1.0,0.0,1.0,0.0,0.5,0.05122998847110938,0.31148287076904907,0.0022949869861934877,0.13528988565342667,0.011176647091100101
proposed_robust_steps1,0.06,1.0,0.0,1.0,0.0,0.15885416666666666,0.011933790872280832,0.30492228890480544,0.0013188821841055162,0.12322533968287384,0.01854957587952211
proposed_robust_steps1,0.08,1.0,0.0,1.0,0.0,0.028645833333333332,0.009021097956087902,0.29876453572592904,0.001857197751858608,0.10480378985159298,0.02149305773505375
proposed_robust_steps8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3175902509746619,0.0004980893376975945,0.1497857935618275,0.004934940273465396
proposed_robust_steps8,0.005,1.0,0.0,1.0,0.0,1.0,0.0,0.3173813561854652,0.0005742293816040675,0.14825469806616803,0.005142512335445923
proposed_robust_steps8,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.3173546575998126,0.00044096529159433497,0.15068740266874658,0.009605795181245045
proposed_robust_steps8,0.02,1.0,0.0,1.0,0.0,0.9557291666666666,0.009021097956087904,0.31669884413683325,0.00023894134297981458,0.14397627122118636,0.007916272383158628
proposed_robust_steps8,0.04,1.0,0.0,1.0,0.0,0.5286458333333334,0.05022734771350497,0.3148749375239259,0.0018390742261908024,0.14226262479333804,0.01002572001368146
proposed_robust_steps8,0.06,1.0,0.0,1.0,0.0,0.19270833333333334,0.004510548978043952,0.3084033308477239,0.0008017878694699297,0.12748507460391326,0.022278136642898277
proposed_robust_steps8,0.08,1.0,0.0,1.0,0.0,0.033854166666666664,0.01626301562082916,0.30207381450983845,0.0016808537532072467,0.10047807448068495,0.0067037293905198156
proposed_steps1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.31347388247044067,0.000318822246945957,0.14338336646671582,0.0019525739897469827
proposed_steps1,0.005,1.0,0.0,1.0,0.0,0.4661458333333333,0.08605578980134534,0.3132443216952625,0.0003537642614856229,0.14177364824091646,0.0021868213820405874
proposed_steps1,0.01,1.0,0.0,1.0,0.0,0.3776041666666667,0.05966895436140417,0.31325781499523675,0.0004689704436799842,0.14538791958862127,0.006363212499782594
proposed_steps1,0.02,1.0,0.0,1.0,0.0,0.234375,0.015625,0.3126161565242465,0.00012221008017156243,0.13818679235816786,0.003227421125429662
proposed_steps1,0.04,1.0,0.0,1.0,0.0,0.049479166666666664,0.023867581744561668,0.3112770076851627,0.0022176482649586974,0.13579949254601822,0.011321410271919989
proposed_steps1,0.06,1.0,0.0,1.0,0.0,0.013020833333333334,0.004510548978043951,0.3046975808097416,0.0012890759659340972,0.12346511282732274,0.018327138763510737
proposed_steps1,0.08,1.0,0.0,1.0,0.0,0.0,0.0,0.2985988903939481,0.0019114827625486962,0.10493408663162042,0.020860496869937482
proposed_steps8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3196422423452952,0.0009095562131665615,0.1519595335260917,0.006979067395737013
proposed_steps8,0.005,1.0,0.0,1.0,0.0,0.5026041666666666,0.03522851369392886,0.3194405487012981,0.0010107854644796498,0.15075966254573378,0.0070513857718036265
proposed_steps8,0.01,1.0,0.0,1.0,0.0,0.3958333333333333,0.027436598314720676,0.31935439480743283,0.0006259512476484987,0.15276349580393547,0.012256714174723219
proposed_steps8,0.02,1.0,0.0,1.0,0.0,0.24739583333333334,0.016263015620829165,0.3187810914634694,0.0006764214404718882,0.14743221885229757,0.010910756811294364
proposed_steps8,0.04,1.0,0.0,1.0,0.0,0.125,0.0234375,0.316722967307095,0.001739213063969207,0.14542595586780233,0.008799507908944687
proposed_steps8,0.06,1.0,0.0,1.0,0.0,0.028645833333333332,0.016263015620829165,0.31002455126666656,0.0006141734268434728,0.13197008998587986,0.026178588616234594
proposed_steps8,0.08,1.0,0.0,1.0,0.0,0.0026041666666666665,0.004510548978043952,0.3036518558894564,0.001766464132105932,0.10245673647264664,0.005005118064962538
quintic_skeleton,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.31372484471686457,0.0,0.14250679246388182,0.0
quintic_skeleton,0.005,1.0,0.0,1.0,0.0,1.0,0.0,0.3135107959061623,0.00015275632778705492,0.14084795544219167,0.0004443584098134669
quintic_skeleton,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.313533568751718,0.00030507431130243843,0.1442491690510515,0.005120575536481917
quintic_skeleton,0.02,1.0,0.0,1.0,0.0,0.9973958333333334,0.004510548978043951,0.3129040670301569,0.00019512991455887646,0.13697752462436888,0.0013815611993953814
quintic_skeleton,0.04,1.0,0.0,1.0,0.0,0.7864583333333334,0.03853814736184568,0.31159677792892965,0.00239703386885676,0.1341249503811973,0.010926007220225076
quintic_skeleton,0.06,1.0,0.0,1.0,0.0,0.3671875,0.034053897996411515,0.3050861682270119,0.001410720054927266,0.12268011144422403,0.019059812746649498
quintic_skeleton,0.08,1.0,0.0,1.0,0.0,0.12239583333333333,0.04009063624567878,0.29891379130819995,0.0017170275393432566,0.1044008344353378,0.02269369365409762
