method,planner_seed,maximum_tracking_error_m,ring_pass_rate,collision_free_rate,dynamic_feasibility_rate,mean_minimum_barrier,minimum_barrier
quintic_skeleton,401,0.0,1.0,1.0,1.0,0.31372484471686457,0.14250679246388182
quintic_skeleton,401,0.005,1.0,1.0,1.0,0.3133376914280618,0.14043351800384346
quintic_skeleton,401,0.01,1.0,1.0,1.0,0.31388355307388227,0.14002377923318365
quintic_skeleton,401,0.02,1.0,1.0,0.9921875,0.31286989356010353,0.13631945622408154
quintic_skeleton,401,0.04,1.0,1.0,0.7421875,0.31288964096853,0.14193733210065979
quintic_skeleton,401,0.06,1.0,1.0,0.328125,0.3060299626943565,0.10147642609597181
quintic_skeleton,401,0.08,1.0,1.0,0.1328125,0.2969676395127869,0.09585540886329676
quintic_skeleton,402,0.0,1.0,1.0,1.0,0.31372484471686457,0.14250679246388182
quintic_skeleton,402,0.005,1.0,1.0,1.0,0.313626684563282,0.14079319018543696
quintic_skeleton,402,0.01,1.0,1.0,1.0,0.31332388414050516,0.14277998533416475
quintic_skeleton,402,0.02,1.0,1.0,1.0,0.3131140262982569,0.136048019658224
quintic_skeleton,402,0.04,1.0,1.0,0.8125,0.31306981573871945,0.13879795835809794
quintic_skeleton,402,0.06,1.0,1.0,0.3828125,0.3057640840546375,0.128175168664018
quintic_skeleton,402,0.08,1.0,1.0,0.078125,0.2995589137598643,0.1301266474171473
quintic_skeleton,403,0.0,1.0,1.0,1.0,0.31372484471686457,0.14250679246388182
quintic_skeleton,403,0.005,1.0,1.0,1.0,0.3135680117271431,0.14131715813729462
quintic_skeleton,403,0.01,1.0,1.0,1.0,0.3133932690407666,0.14994374258580612
quintic_skeleton,403,0.02,1.0,1.0,1.0,0.31272828123211016,0.13856509799080108
quintic_skeleton,403,0.04,1.0,1.0,0.8046875,0.3088308770795394,0.1216395606848341
quintic_skeleton,403,0.06,1.0,1.0,0.390625,0.3034644579320417,0.13838873957268227
quintic_skeleton,403,0.08,1.0,1.0,0.15625,0.3002148206519487,0.08722044702556936
projected_velocity_steps8,401,0.0,1.0,1.0,0.6875,0.2834173251775679,0.11191961894318933
projected_velocity_steps8,401,0.005,1.0,1.0,0.6796875,0.28289440639068975,0.11066117815999596
projected_velocity_steps8,401,0.01,1.0,1.0,0.6953125,0.2834658970207029,0.11689840213812172
projected_velocity_steps8,401,0.02,1.0,1.0,0.671875,0.28244930822974434,0.12446851059139963
projected_velocity_steps8,401,0.04,1.0,1.0,0.515625,0.2802235309850398,0.10821534989711279
projected_velocity_steps8,401,0.06,1.0,1.0,0.234375,0.26913227595701167,0.10556017178958838
projected_velocity_steps8,401,0.08,1.0,1.0,0.078125,0.26605980101368365,0.11229937205381223
projected_velocity_steps8,402,0.0,1.0,1.0,0.7578125,0.28522899816267244,0.10227470320437551
projected_velocity_steps8,402,0.005,1.0,1.0,0.765625,0.2851626753014958,0.10238857117221925
projected_velocity_steps8,402,0.01,1.0,1.0,0.7578125,0.28531190423753616,0.10427832452947572
projected_velocity_steps8,402,0.02,1.0,1.0,0.765625,0.28366414687373886,0.10203138798039726
projected_velocity_steps8,402,0.04,1.0,1.0,0.5703125,0.2807578922326984,0.09835538039052419
projected_velocity_steps8,402,0.06,1.0,1.0,0.3203125,0.27609553806895404,0.0630104182106726
projected_velocity_steps8,402,0.08,1.0,1.0,0.046875,0.2633882567921947,0.06362848386657019
projected_velocity_steps8,403,0.0,1.0,1.0,0.6796875,0.2935477387753513,0.11827759093373169
projected_velocity_steps8,403,0.005,1.0,1.0,0.671875,0.2936023942862001,0.11814811256874738
projected_velocity_steps8,403,0.01,1.0,1.0,0.6796875,0.2932332072428391,0.11385264772180964
projected_velocity_steps8,403,0.02,1.0,1.0,0.65625,0.29295306523342496,0.1146423793602615
projected_velocity_steps8,403,0.04,1.0,1.0,0.53125,0.28731486216076557,0.11723194082513169
projected_velocity_steps8,403,0.06,1.0,1.0,0.3359375,0.28493212223546666,0.09791513311439272
projected_velocity_steps8,403,0.08,1.0,1.0,0.1171875,0.2730252604341993,0.08958470462315155
proposed_steps1,401,0.0,1.0,1.0,1.0,0.31346112661414194,0.1442594767896636
proposed_steps1,401,0.005,1.0,1.0,0.5546875,0.3130371657616794,0.14217384832441
proposed_steps1,401,0.01,1.0,1.0,0.390625,0.3135762602299852,0.14167951795056616
proposed_steps1,401,0.02,1.0,1.0,0.234375,0.3125098878428144,0.13817688138341305
proposed_steps1,401,0.04,1.0,1.0,0.0703125,0.3126108578569574,0.14410960708307846
proposed_steps1,401,0.06,1.0,1.0,0.015625,0.3057327776319376,0.10355115241918898
proposed_steps1,401,0.08,1.0,1.0,0.0,0.2966092791989243,0.0972688526490403
proposed_steps1,402,0.0,1.0,1.0,1.0,0.3131616295914712,0.14114618145668884
proposed_steps1,402,0.005,1.0,1.0,0.3828125,0.31304299973242067,0.13941436602139295
proposed_steps1,402,0.01,1.0,1.0,0.4296875,0.31271928016952366,0.1417488252867271
proposed_steps1,402,0.02,1.0,1.0,0.21875,0.3125888823504535,0.13496433813336056
proposed_steps1,402,0.04,1.0,1.0,0.0234375,0.3125031215889528,0.140384047845036
proposed_steps1,402,0.06,1.0,1.0,0.015625,0.3051062612445832,0.12722050848351488
proposed_steps1,402,0.08,1.0,1.0,0.0,0.29876613824664816,0.1285427869220599
proposed_steps1,403,0.0,1.0,1.0,1.0,0.313798891205709,0.14474444115379503
proposed_steps1,403,0.005,1.0,1.0,0.4609375,0.31365279959168746,0.14373273037694645
proposed_steps1,403,0.01,1.0,1.0,0.3125,0.3134779045862014,0.1527354155285705
proposed_steps1,403,0.02,1.0,1.0,0.25,0.3127496993794716,0.14141915755773
proposed_steps1,403,0.04,1.0,1.0,0.0546875,0.30871704360957797,0.12290482270994026
proposed_steps1,403,0.06,1.0,1.0,0.0078125,0.30325370355270387,0.13962367757926436
proposed_steps1,403,0.08,1.0,1.0,0.0,0.3004212537362717,0.08899062032376111
proposed_steps8,401,0.0,1.0,1.0,1.0,0.31862893700078876,0.15299325210031947
proposed_steps8,401,0.005,1.0,1.0,0.5390625,0.31829481580133334,0.15245636806961688
proposed_steps8,401,0.01,1.0,1.0,0.3671875,0.3187207801049817,0.15251930709311376
proposed_steps8,401,0.02,1.0,1.0,0.2421875,0.3180150062927376,0.15351972170988293
proposed_steps8,401,0.04,1.0,1.0,0.125,0.3166290091719274,0.1546491844792517
proposed_steps8,401,0.06,1.0,1.0,0.015625,0.3099310244441938,0.11115303055695337
proposed_steps8,401,0.08,1.0,1.0,0.0,0.301713777473427,0.09867490611774697
proposed_steps8,402,0.0,1.0,1.0,1.0,0.31990972621940406,0.14452126172806562
proposed_steps8,402,0.005,1.0,1.0,0.46875,0.3198206475537516,0.14301472120126008
proposed_steps8,402,0.01,1.0,1.0,0.421875,0.3193700140595225,0.14063070047130785
proposed_steps8,402,0.02,1.0,1.0,0.234375,0.3192959714430704,0.13483591038811515
proposed_steps8,402,0.04,1.0,1.0,0.1015625,0.3185072549205359,0.14450627600424837
proposed_steps8,402,0.06,1.0,1.0,0.046875,0.3106801238009861,0.1233968908673981
proposed_steps8,402,0.08,1.0,1.0,0.0,0.3040701823138831,0.10813242723383773
proposed_steps8,403,0.0,1.0,1.0,1.0,0.3203880638156929,0.15836408674989
proposed_steps8,403,0.005,1.0,1.0,0.5,0.3202061827488094,0.15680789836632442
proposed_steps8,403,0.01,1.0,1.0,0.3984375,0.3199723902577942,0.16514047984738478
proposed_steps8,403,0.02,1.0,1.0,0.265625,0.3190322966546001,0.15394102445889463
proposed_steps8,403,0.04,1.0,1.0,0.1484375,0.31503263782882174,0.13712240711990692
proposed_steps8,403,0.06,1.0,1.0,0.0234375,0.3094625055548198,0.16136034853328807
proposed_steps8,403,0.08,1.0,1.0,0.0078125,0.30517160788105924,0.10056287606635524
proposed_robust_steps1,401,0.0,1.0,1.0,1.0,0.3136799848240738,0.14362780630455568
proposed_robust_steps1,401,0.005,1.0,1.0,1.0,0.31326674418178585,0.1415517305085714
proposed_robust_steps1,401,0.01,1.0,1.0,1.0,0.3137901950082326,0.14108222337099274
proposed_robust_steps1,401,0.02,1.0,1.0,0.9609375,0.31271792451874414,0.13750860207558818
proposed_robust_steps1,401,0.04,1.0,1.0,0.4453125,0.31282390405976856,0.14332993502046376
proposed_robust_steps1,401,0.06,1.0,1.0,0.15625,0.305917904666127,0.10286885678885825
proposed_robust_steps1,401,0.08,1.0,1.0,0.0390625,0.2967627782618125,0.09675297296403841
proposed_robust_steps1,402,0.0,1.0,1.0,1.0,0.3134356556135498,0.1416965607882913
proposed_robust_steps1,402,0.005,1.0,1.0,1.0,0.31332341152849563,0.13996580705734263
proposed_robust_steps1,402,0.01,1.0,1.0,1.0,0.3129797520608095,0.1421842015855349
proposed_robust_steps1,402,0.02,1.0,1.0,0.9609375,0.3128470546782056,0.13542675010969618
proposed_robust_steps1,402,0.04,1.0,1.0,0.5078125,0.3127917953457729,0.14001260909796842
proposed_robust_steps1,402,0.06,1.0,1.0,0.1484375,0.3054224851110135,0.1276332285887117
proposed_robust_steps1,402,0.08,1.0,1.0,0.0234375,0.29909914966029133,0.12915995802993635
proposed_robust_steps1,403,0.0,1.0,1.0,1.0,0.31386758981144003,0.1441049524055425
proposed_robust_steps1,403,0.005,1.0,1.0,1.0,0.31371903178995664,0.1430355306748166
proposed_robust_steps1,403,0.01,1.0,1.0,1.0,0.31354613604578824,0.15195902069261635
proposed_robust_steps1,403,0.02,1.0,1.0,0.9375,0.3128405345950359,0.14063219624245166
proposed_robust_steps1,403,0.04,1.0,1.0,0.546875,0.30883291290160564,0.12252711284184788
proposed_robust_steps1,403,0.06,1.0,1.0,0.171875,0.30342647693727576,0.13917393367105158
proposed_robust_steps1,403,0.08,1.0,1.0,0.0234375,0.30043167925568337,0.0884984385608042
proposed_robust_steps8,401,0.0,1.0,1.0,1.0,0.3172296971964417,0.15250454900346816
proposed_robust_steps8,401,0.005,1.0,1.0,1.0,0.3168547169962267,0.15111952655599875
proposed_robust_steps8,401,0.01,1.0,1.0,1.0,0.31732000136322625,0.1516637966171429
proposed_robust_steps8,401,0.02,1.0,1.0,0.9609375,0.31644910314554925,0.1486343227097734
proposed_robust_steps8,401,0.04,1.0,1.0,0.5078125,0.3156521958821914,0.15147248582317913
proposed_robust_steps8,401,0.06,1.0,1.0,0.1953125,0.3091004173959915,0.10753415709317725
proposed_robust_steps8,401,0.08,1.0,1.0,0.046875,0.3002813334792774,0.09764997302074192
proposed_robust_steps8,402,0.0,1.0,1.0,1.0,0.3173824637993621,0.14408937628168994
proposed_robust_steps8,402,0.005,1.0,1.0,1.0,0.3172957807300107,0.14231784141257386
