baseline,metric,paired_runs,baseline_minus_full_mean,ci95_lower,ci95_upper,conclusion
quintic_skeleton,tracking_rmse_m,72,-0.0016326561059064142,-0.0033906256051015205,-0.0005168009523137543,full_worse
quintic_skeleton,maximum_tracking_error_m,72,-0.00634923834824971,-0.010311867497486128,-0.003713039046613902,full_worse
quintic_skeleton,crossing_time_error_s,72,-0.000731726998172579,-0.003961285741367267,0.0020096993940554877,inconclusive
quintic_skeleton,maximum_tilt_degrees,72,-4.903759129892489,-6.2554415142736834,-3.615977048111206,full_worse
projected_velocity_cfm,tracking_rmse_m,72,-7.281730096110066e-05,-0.001355067793144244,0.0012731105107712537,inconclusive
projected_velocity_cfm,maximum_tracking_error_m,72,-0.005073574611397156,-0.008588648981647925,-0.0013490157466344405,full_worse
projected_velocity_cfm,crossing_time_error_s,72,0.04536708474995805,0.024982967172913085,0.06884647433318102,full_better
projected_velocity_cfm,maximum_tilt_degrees,72,4.613384157441171,1.5820552391804907,7.990797263154557,full_better
boundary_only,tracking_rmse_m,72,0.19480316347624166,0.15524929837772541,0.2415170814038818,full_better
boundary_only,maximum_tracking_error_m,72,0.50393993784538,0.4017000743068128,0.6242884864657898,full_better
boundary_only,crossing_time_error_s,64,0.14152965258930944,0.08139564650254634,0.21464496544931633,full_better
boundary_only,maximum_tilt_degrees,72,39.647178508773074,36.53291229181395,42.636066514486096,full_better
plus_safe_prior,tracking_rmse_m,72,0.1956961842933676,0.15502618369954219,0.2433109421420973,full_better
plus_safe_prior,maximum_tracking_error_m,72,0.4829525236391865,0.38361651890730764,0.5964231631857962,full_better
plus_safe_prior,crossing_time_error_s,58,0.1662532183816563,0.08027571827612227,0.27672819035880664,full_better
plus_safe_prior,maximum_tilt_degrees,72,38.17580600026079,35.74393538887746,40.8876618288907,full_better
plus_cbf,tracking_rmse_m,72,0.19578505422773287,0.15427291481416516,0.2439233577917832,full_better
plus_cbf,maximum_tracking_error_m,72,0.48295042634460383,0.3875845634749037,0.5990446799956356,full_better
plus_cbf,crossing_time_error_s,58,0.16660764579107895,0.08222152676659479,0.28211550637111615,full_better
plus_cbf,maximum_tilt_degrees,72,38.16346960428838,35.70199072944004,40.84734976058976,full_better
plus_kinodynamic,tracking_rmse_m,72,0.003260726624742751,0.0018429761117311364,0.005454646714206725,full_better
plus_kinodynamic,maximum_tracking_error_m,72,0.00997880482940354,0.0065364225816212035,0.015100794277634881,full_better
plus_kinodynamic,crossing_time_error_s,72,0.0015540213828283565,-0.0007928915676503533,0.004318496218754048,inconclusive
plus_kinodynamic,maximum_tilt_degrees,72,4.92712163269907,4.093183897370732,5.794540676037818,full_better
