method,query_index,latency_ms,success,collision_free,dynamic_feasible
quintic_skeleton,0,0.1982,1,1,1
quintic_skeleton,1,0.2544,1,1,1
quintic_skeleton,2,0.3324,1,1,1
quintic_skeleton,3,0.2851,1,1,1
quintic_skeleton,4,0.2992,1,1,1
quintic_skeleton,5,0.2888,1,1,1
quintic_skeleton,6,0.1942,1,1,1
quintic_skeleton,7,0.1901,1,1,1
quintic_skeleton,8,0.1908,1,1,1
quintic_skeleton,9,0.1916,1,1,1
quintic_skeleton,10,0.1939,1,1,1
quintic_skeleton,11,0.1915,1,1,1
quintic_skeleton,12,0.1892,1,1,1
quintic_skeleton,13,0.2944,1,1,1
quintic_skeleton,14,0.2927,1,1,1
quintic_skeleton,15,0.2854,1,1,1
quintic_skeleton,16,0.2921,1,1,1
quintic_skeleton,17,0.1971,1,1,1
quintic_skeleton,18,0.184,1,1,1
quintic_skeleton,19,0.1924,1,1,1
quintic_skeleton,20,0.2034,1,1,1
quintic_skeleton,21,0.2608,1,1,1
quintic_skeleton,22,0.2461,1,1,1
quintic_skeleton,23,0.2482,1,1,1
quintic_skeleton,24,0.2378,1,1,1
quintic_skeleton,25,0.2451,1,1,1
quintic_skeleton,26,0.2336,1,1,1
quintic_skeleton,27,0.2157,1,1,1
quintic_skeleton,28,0.2104,1,1,1
quintic_skeleton,29,0.202,1,1,1
quintic_skeleton,30,0.2268,1,1,1
quintic_skeleton,31,0.2335,1,1,1
quintic_skeleton,32,0.1997,1,1,1
quintic_skeleton,33,0.1955,1,1,1
quintic_skeleton,34,0.2032,1,1,1
quintic_skeleton,35,0.2992,1,1,1
quintic_skeleton,36,0.3213,1,1,1
quintic_skeleton,37,0.2674,1,1,1
quintic_skeleton,38,0.2167,1,1,1
quintic_skeleton,39,0.1891,1,1,1
quintic_skeleton,40,0.2924,1,1,1
quintic_skeleton,41,0.2871,1,1,1
quintic_skeleton,42,0.287,1,1,1
quintic_skeleton,43,0.2883,1,1,1
quintic_skeleton,44,0.3108,1,1,1
quintic_skeleton,45,0.3301,1,1,1
quintic_skeleton,46,0.3199,1,1,1
quintic_skeleton,47,0.3332,1,1,1
quintic_skeleton,48,0.3076,1,1,1
quintic_skeleton,49,0.2817,1,1,1
quintic_skeleton,50,0.2908,1,1,1
quintic_skeleton,51,0.3749,1,1,1
quintic_skeleton,52,0.2064,1,1,1
quintic_skeleton,53,0.2051,1,1,1
quintic_skeleton,54,0.222,1,1,1
quintic_skeleton,55,0.1969,1,1,1
quintic_skeleton,56,0.2164,1,1,1
quintic_skeleton,57,0.2166,1,1,1
quintic_skeleton,58,0.2171,1,1,1
quintic_skeleton,59,0.2316,1,1,1
quintic_skeleton,60,0.2001,1,1,1
quintic_skeleton,61,0.1878,1,1,1
quintic_skeleton,62,0.192,1,1,1
quintic_skeleton,63,0.1853,1,1,1
quintic_skeleton,64,0.1861,1,1,1
quintic_skeleton,65,0.1877,1,1,1
quintic_skeleton,66,0.2411,1,1,1
quintic_skeleton,67,0.2139,1,1,1
quintic_skeleton,68,0.2097,1,1,1
quintic_skeleton,69,0.312,1,1,1
quintic_skeleton,70,0.2479,1,1,1
quintic_skeleton,71,0.2357,1,1,1
quintic_skeleton,72,0.2024,1,1,1
quintic_skeleton,73,0.2187,1,1,1
quintic_skeleton,74,0.3161,1,1,1
quintic_skeleton,75,0.314,1,1,1
quintic_skeleton,76,0.5046,1,1,1
quintic_skeleton,77,0.2402,1,1,1
quintic_skeleton,78,0.3497,1,1,1
quintic_skeleton,79,0.2952,1,1,1
quintic_skeleton,80,0.3093,1,1,1
quintic_skeleton,81,0.3143,1,1,1
quintic_skeleton,82,0.3267,1,1,1
quintic_skeleton,83,0.3195,1,1,1
quintic_skeleton,84,0.2088,1,1,1
quintic_skeleton,85,0.1851,1,1,1
quintic_skeleton,86,0.1856,1,1,1
quintic_skeleton,87,0.1854,1,1,1
quintic_skeleton,88,0.1829,1,1,1
quintic_skeleton,89,0.2381,1,1,1
quintic_skeleton,90,0.1996,1,1,1
quintic_skeleton,91,0.2885,1,1,1
quintic_skeleton,92,0.2221,1,1,1
quintic_skeleton,93,0.335,1,1,1
quintic_skeleton,94,0.3114,1,1,1
quintic_skeleton,95,0.3335,1,1,1
quintic_skeleton,96,0.2426,1,1,1
quintic_skeleton,97,0.2148,1,1,1
quintic_skeleton,98,0.2047,1,1,1
quintic_skeleton,99,0.2074,1,1,1
quintic_skeleton,100,0.1979,1,1,1
quintic_skeleton,101,0.2452,1,1,1
quintic_skeleton,102,0.226,1,1,1
quintic_skeleton,103,0.3155,1,1,1
quintic_skeleton,104,0.338,1,1,1
quintic_skeleton,105,0.3125,1,1,1
quintic_skeleton,106,0.2903,1,1,1
quintic_skeleton,107,0.2495,1,1,1
quintic_skeleton,108,0.2511,1,1,1
quintic_skeleton,109,0.2067,1,1,1
quintic_skeleton,110,0.1914,1,1,1
quintic_skeleton,111,0.1903,1,1,1
quintic_skeleton,112,0.1969,1,1,1
quintic_skeleton,113,0.2051,1,1,1
quintic_skeleton,114,0.2071,1,1,1
quintic_skeleton,115,0.2885,1,1,1
quintic_skeleton,116,0.2515,1,1,1
quintic_skeleton,117,0.2238,1,1,1
quintic_skeleton,118,0.2322,1,1,1
quintic_skeleton,119,0.2295,1,1,1
quintic_skeleton,120,0.1983,1,1,1
quintic_skeleton,121,0.1968,1,1,1
quintic_skeleton,122,0.2228,1,1,1
quintic_skeleton,123,0.1875,1,1,1
quintic_skeleton,124,0.1835,1,1,1
quintic_skeleton,125,0.195,1,1,1
quintic_skeleton,126,0.1877,1,1,1
quintic_skeleton,127,0.1858,1,1,1
projected_velocity_cfm,0,21.4682,0,1,0
projected_velocity_cfm,1,25.3231,1,1,1
projected_velocity_cfm,2,26.5792,1,1,1
projected_velocity_cfm,3,27.6976,1,1,1
projected_velocity_cfm,4,23.8905,1,1,1
projected_velocity_cfm,5,26.1553,1,1,1
projected_velocity_cfm,6,25.3859,1,1,1
projected_velocity_cfm,7,24.6968,1,1,1
projected_velocity_cfm,8,23.6152,1,1,1
projected_velocity_cfm,9,27.9907,0,1,0
projected_velocity_cfm,10,22.5855,1,1,1
projected_velocity_cfm,11,22.9271,1,1,1
projected_velocity_cfm,12,24.6196,1,1,1
projected_velocity_cfm,13,25.5373,1,1,1
projected_velocity_cfm,14,23.2607,0,1,0
projected_velocity_cfm,15,22.7977,0,1,0
projected_velocity_cfm,16,26.9573,1,1,1
projected_velocity_cfm,17,21.9062,0,1,0
projected_velocity_cfm,18,22.707,0,1,0
projected_velocity_cfm,19,29.2118,1,1,1
projected_velocity_cfm,20,25.5746,1,1,1
projected_velocity_cfm,21,26.8457,1,1,1
projected_velocity_cfm,22,29.5199,1,1,1
projected_velocity_cfm,23,26.5095,0,1,0
projected_velocity_cfm,24,32.0815,1,1,1
projected_velocity_cfm,25,21.5107,1,1,1
projected_velocity_cfm,26,28.0812,0,1,0
projected_velocity_cfm,27,20.9797,1,1,1
projected_velocity_cfm,28,20.8522,1,1,1
projected_velocity_cfm,29,26.6065,1,1,1
projected_velocity_cfm,30,22.1054,1,1,1
projected_velocity_cfm,31,24.8882,1,1,1
projected_velocity_cfm,32,21.21,1,1,1
projected_velocity_cfm,33,21.5884,1,1,1
projected_velocity_cfm,34,23.2894,1,1,1
projected_velocity_cfm,35,24.4463,0,1,0
projected_velocity_cfm,36,24.4454,1,1,1
projected_velocity_cfm,37,23.1689,0,1,0
projected_velocity_cfm,38,23.0167,1,1,1
projected_velocity_cfm,39,23.9388,0,1,0
projected_velocity_cfm,40,24.9499,1,1,1
projected_velocity_cfm,41,28.7872,1,1,1
projected_velocity_cfm,42,23.3467,1,1,1
projected_velocity_cfm,43,21.0523,1,1,1
projected_velocity_cfm,44,21.8235,1,1,1
projected_velocity_cfm,45,23.7353,0,1,0
projected_velocity_cfm,46,24.929,1,1,1
projected_velocity_cfm,47,25.3543,1,1,1
projected_velocity_cfm,48,31.1933,1,1,1
projected_velocity_cfm,49,23.9524,0,1,0
projected_velocity_cfm,50,24.5747,1,1,1
projected_velocity_cfm,51,24.5548,0,1,0
projected_velocity_cfm,52,31.3721,0,1,0
projected_velocity_cfm,53,22.5928,1,1,1
projected_velocity_cfm,54,25.0731,1,1,1
projected_velocity_cfm,55,24.903,1,1,1
projected_velocity_cfm,56,25.0276,0,1,0
projected_velocity_cfm,57,20.9286,0,1,0
projected_velocity_cfm,58,23.5481,1,1,1
projected_velocity_cfm,59,20.2195,1,1,1
projected_velocity_cfm,60,20.3795,1,1,1
projected_velocity_cfm,61,25.8206,1,1,1
projected_velocity_cfm,62,30.441,1,1,1
projected_velocity_cfm,63,32.0334,1,1,1
projected_velocity_cfm,64,23.3591,1,1,1
projected_velocity_cfm,65,29.1661,1,1,1
projected_velocity_cfm,66,21.0217,1,1,1
projected_velocity_cfm,67,21.9436,1,1,1
projected_velocity_cfm,68,20.469,1,1,1
projected_velocity_cfm,69,20.6104,1,1,1
projected_velocity_cfm,70,22.9214,0,1,0
projected_velocity_cfm,71,30.7017,1,1,1
projected_velocity_cfm,72,26.7939,0,1,0
projected_velocity_cfm,73,21.4466,1,1,1
projected_velocity_cfm,74,21.6392,0,1,0
projected_velocity_cfm,75,21.9255,1,1,1
projected_velocity_cfm,76,21.4904,0,1,0
projected_velocity_cfm,77,20.0663,0,1,0
projected_velocity_cfm,78,19.6968,0,1,0
projected_velocity_cfm,79,19.6906,1,1,1
projected_velocity_cfm,80,19.8464,1,1,1
projected_velocity_cfm,81,19.4789,1,1,1
projected_velocity_cfm,82,19.7144,0,1,0
projected_velocity_cfm,83,19.828,1,1,1
projected_velocity_cfm,84,19.9397,1,1,1
projected_velocity_cfm,85,19.8002,0,1,0
projected_velocity_cfm,86,19.7056,0,1,0
projected_velocity_cfm,87,19.9985,1,1,1
projected_velocity_cfm,88,20.1676,0,1,0
