method,query_index,latency_ms,success,collision_free,dynamic_feasible
quintic_skeleton,0,0.1761,1,1,1
quintic_skeleton,1,0.1923,1,1,1
quintic_skeleton,2,0.1874,1,1,1
quintic_skeleton,3,0.1895,1,1,1
quintic_skeleton,4,0.1903,1,1,1
quintic_skeleton,5,0.1857,1,1,1
quintic_skeleton,6,0.1885,1,1,1
quintic_skeleton,7,0.1901,1,1,1
quintic_skeleton,8,0.1876,1,1,1
quintic_skeleton,9,0.1868,1,1,1
quintic_skeleton,10,0.194,1,1,1
quintic_skeleton,11,0.1843,1,1,1
quintic_skeleton,12,0.1867,1,1,1
quintic_skeleton,13,0.1851,1,1,1
quintic_skeleton,14,0.3179,1,1,1
quintic_skeleton,15,0.259,1,1,1
quintic_skeleton,16,0.2554,1,1,1
quintic_skeleton,17,0.2541,1,1,1
quintic_skeleton,18,0.2518,1,1,1
quintic_skeleton,19,0.2501,1,1,1
quintic_skeleton,20,0.2534,1,1,1
quintic_skeleton,21,0.2515,1,1,1
quintic_skeleton,22,0.2547,1,1,1
quintic_skeleton,23,0.2289,1,1,1
quintic_skeleton,24,0.1912,1,1,1
quintic_skeleton,25,0.2185,1,1,1
quintic_skeleton,26,0.1907,1,1,1
quintic_skeleton,27,0.2016,1,1,1
quintic_skeleton,28,0.188,1,1,1
quintic_skeleton,29,0.1871,1,1,1
quintic_skeleton,30,0.193,1,1,1
quintic_skeleton,31,0.1863,1,1,1
quintic_skeleton,32,0.1862,1,1,1
quintic_skeleton,33,0.1872,1,1,1
quintic_skeleton,34,0.1918,1,1,1
quintic_skeleton,35,0.1848,1,1,1
quintic_skeleton,36,0.1865,1,1,1
quintic_skeleton,37,0.1956,1,1,1
quintic_skeleton,38,0.1851,1,1,1
quintic_skeleton,39,0.1853,1,1,1
quintic_skeleton,40,0.1903,1,1,1
quintic_skeleton,41,0.1868,1,1,1
quintic_skeleton,42,0.1861,1,1,1
quintic_skeleton,43,0.1853,1,1,1
quintic_skeleton,44,0.2546,1,1,1
quintic_skeleton,45,0.21,1,1,1
quintic_skeleton,46,0.2199,1,1,1
quintic_skeleton,47,0.2727,1,1,1
quintic_skeleton,48,0.26,1,1,1
quintic_skeleton,49,0.2567,1,1,1
quintic_skeleton,50,0.2731,1,1,1
quintic_skeleton,51,0.2957,1,1,1
quintic_skeleton,52,0.3534,1,1,1
quintic_skeleton,53,0.4303,1,1,1
quintic_skeleton,54,0.2213,1,1,1
quintic_skeleton,55,0.1986,1,1,1
quintic_skeleton,56,0.1998,1,1,1
quintic_skeleton,57,0.2718,1,1,1
quintic_skeleton,58,0.2614,1,1,1
quintic_skeleton,59,0.2153,1,1,1
quintic_skeleton,60,0.2134,1,1,1
quintic_skeleton,61,0.2356,1,1,1
quintic_skeleton,62,0.2397,1,1,1
quintic_skeleton,63,0.2244,1,1,1
quintic_skeleton,64,0.2015,1,1,1
quintic_skeleton,65,0.2229,1,1,1
quintic_skeleton,66,0.2182,1,1,1
quintic_skeleton,67,0.207,1,1,1
quintic_skeleton,68,0.2699,1,1,1
quintic_skeleton,69,0.2434,1,1,1
quintic_skeleton,70,0.2354,1,1,1
quintic_skeleton,71,0.2267,1,1,1
quintic_skeleton,72,0.2421,1,1,1
quintic_skeleton,73,0.2502,1,1,1
quintic_skeleton,74,0.246,1,1,1
quintic_skeleton,75,0.2279,1,1,1
quintic_skeleton,76,0.328,1,1,1
quintic_skeleton,77,0.2342,1,1,1
quintic_skeleton,78,0.2389,1,1,1
quintic_skeleton,79,0.3481,1,1,1
quintic_skeleton,80,0.3639,1,1,1
quintic_skeleton,81,0.2361,1,1,1
quintic_skeleton,82,0.2152,1,1,1
quintic_skeleton,83,0.2924,1,1,1
quintic_skeleton,84,0.2291,1,1,1
quintic_skeleton,85,0.2231,1,1,1
quintic_skeleton,86,0.2146,1,1,1
quintic_skeleton,87,0.2188,1,1,1
quintic_skeleton,88,0.2601,1,1,1
quintic_skeleton,89,0.2362,1,1,1
quintic_skeleton,90,0.2599,1,1,1
quintic_skeleton,91,0.2177,1,1,1
quintic_skeleton,92,0.2807,1,1,1
quintic_skeleton,93,0.2105,1,1,1
quintic_skeleton,94,0.1893,1,1,1
quintic_skeleton,95,0.1876,1,1,1
quintic_skeleton,96,0.1866,1,1,1
quintic_skeleton,97,0.1856,1,1,1
quintic_skeleton,98,0.1865,1,1,1
quintic_skeleton,99,0.1857,1,1,1
quintic_skeleton,100,0.2005,1,1,1
quintic_skeleton,101,0.2012,1,1,1
quintic_skeleton,102,0.2277,1,1,1
quintic_skeleton,103,0.2214,1,1,1
quintic_skeleton,104,0.1982,1,1,1
quintic_skeleton,105,0.2066,1,1,1
quintic_skeleton,106,0.2014,1,1,1
quintic_skeleton,107,0.207,1,1,1
quintic_skeleton,108,0.1974,1,1,1
quintic_skeleton,109,0.1946,1,1,1
quintic_skeleton,110,0.213,1,1,1
quintic_skeleton,111,0.1933,1,1,1
quintic_skeleton,112,0.1888,1,1,1
quintic_skeleton,113,0.2023,1,1,1
quintic_skeleton,114,0.1999,1,1,1
quintic_skeleton,115,0.2198,1,1,1
quintic_skeleton,116,0.2071,1,1,1
quintic_skeleton,117,0.1896,1,1,1
quintic_skeleton,118,0.2045,1,1,1
quintic_skeleton,119,0.1986,1,1,1
quintic_skeleton,120,0.1933,1,1,1
quintic_skeleton,121,0.2084,1,1,1
quintic_skeleton,122,0.3289,1,1,1
quintic_skeleton,123,0.3447,1,1,1
quintic_skeleton,124,0.3461,1,1,1
quintic_skeleton,125,0.3333,1,1,1
quintic_skeleton,126,0.3644,1,1,1
quintic_skeleton,127,0.3889,1,1,1
projected_velocity_cfm,0,26.0943,0,1,0
projected_velocity_cfm,1,30.5089,1,1,1
projected_velocity_cfm,2,24.7895,1,1,1
projected_velocity_cfm,3,25.2754,1,1,1
projected_velocity_cfm,4,25.6341,1,1,1
projected_velocity_cfm,5,27.1628,1,1,1
projected_velocity_cfm,6,22.5064,1,1,1
projected_velocity_cfm,7,23.3641,1,1,1
projected_velocity_cfm,8,22.7996,1,1,1
projected_velocity_cfm,9,27.1011,0,1,0
projected_velocity_cfm,10,27.3734,1,1,1
projected_velocity_cfm,11,19.8288,1,1,1
projected_velocity_cfm,12,20.9169,1,1,1
projected_velocity_cfm,13,23.0021,1,1,1
projected_velocity_cfm,14,20.3742,0,1,0
projected_velocity_cfm,15,21.5892,0,1,0
projected_velocity_cfm,16,20.8235,1,1,1
projected_velocity_cfm,17,20.0371,0,1,0
projected_velocity_cfm,18,25.3556,0,1,0
projected_velocity_cfm,19,24.3755,1,1,1
projected_velocity_cfm,20,19.9881,1,1,1
projected_velocity_cfm,21,24.6601,1,1,1
projected_velocity_cfm,22,25.1727,1,1,1
projected_velocity_cfm,23,27.9303,0,1,0
projected_velocity_cfm,24,24.3525,1,1,1
projected_velocity_cfm,25,21.803,1,1,1
projected_velocity_cfm,26,26.3875,0,1,0
projected_velocity_cfm,27,19.5654,1,1,1
projected_velocity_cfm,28,22.2635,1,1,1
projected_velocity_cfm,29,19.896,1,1,1
projected_velocity_cfm,30,19.341,1,1,1
projected_velocity_cfm,31,21.1727,1,1,1
projected_velocity_cfm,32,24.2535,1,1,1
projected_velocity_cfm,33,23.0478,1,1,1
projected_velocity_cfm,34,21.4106,1,1,1
projected_velocity_cfm,35,20.9744,0,1,0
projected_velocity_cfm,36,23.2085,1,1,1
projected_velocity_cfm,37,19.9886,0,1,0
projected_velocity_cfm,38,20.7535,1,1,1
projected_velocity_cfm,39,20.9995,0,1,0
projected_velocity_cfm,40,21.7163,1,1,1
projected_velocity_cfm,41,20.0672,1,1,1
projected_velocity_cfm,42,22.1997,1,1,1
projected_velocity_cfm,43,24.8414,1,1,1
projected_velocity_cfm,44,20.2167,1,1,1
projected_velocity_cfm,45,20.5449,0,1,0
projected_velocity_cfm,46,25.8213,1,1,1
projected_velocity_cfm,47,24.8753,1,1,1
projected_velocity_cfm,48,20.006,1,1,1
projected_velocity_cfm,49,19.7232,0,1,0
projected_velocity_cfm,50,23.9194,1,1,1
projected_velocity_cfm,51,21.8998,0,1,0
projected_velocity_cfm,52,20.833,0,1,0
projected_velocity_cfm,53,24.8546,1,1,1
projected_velocity_cfm,54,28.012,1,1,1
projected_velocity_cfm,55,20.2076,1,1,1
projected_velocity_cfm,56,20.7771,0,1,0
projected_velocity_cfm,57,21.1772,0,1,0
projected_velocity_cfm,58,25.9307,1,1,1
projected_velocity_cfm,59,22.3257,1,1,1
projected_velocity_cfm,60,23.0459,1,1,1
projected_velocity_cfm,61,24.6483,1,1,1
projected_velocity_cfm,62,25.0194,1,1,1
projected_velocity_cfm,63,20.0278,1,1,1
projected_velocity_cfm,64,23.4411,1,1,1
projected_velocity_cfm,65,23.77,1,1,1
projected_velocity_cfm,66,21.494,1,1,1
projected_velocity_cfm,67,23.2747,1,1,1
projected_velocity_cfm,68,20.6731,1,1,1
projected_velocity_cfm,69,21.9381,1,1,1
projected_velocity_cfm,70,23.6069,0,1,0
projected_velocity_cfm,71,21.3956,1,1,1
projected_velocity_cfm,72,23.0948,0,1,0
projected_velocity_cfm,73,21.318,1,1,1
projected_velocity_cfm,74,25.0346,0,1,0
projected_velocity_cfm,75,22.0648,1,1,1
projected_velocity_cfm,76,22.317,0,1,0
projected_velocity_cfm,77,22.1934,0,1,0
projected_velocity_cfm,78,20.8923,0,1,0
projected_velocity_cfm,79,27.1903,1,1,1
projected_velocity_cfm,80,23.5709,1,1,1
projected_velocity_cfm,81,20.431,1,1,1
projected_velocity_cfm,82,22.5868,0,1,0
projected_velocity_cfm,83,22.4081,1,1,1
projected_velocity_cfm,84,20.7634,1,1,1
projected_velocity_cfm,85,20.0881,0,1,0
projected_velocity_cfm,86,20.7123,0,1,0
projected_velocity_cfm,87,22.0569,1,1,1
projected_velocity_cfm,88,21.6367,0,1,0
projected_velocity_cfm,89,22.776,1,1,1
projected_velocity_cfm,90,20.0306,0,1,0
projected_velocity_cfm,91,20.0187,0,1,0
projected_velocity_cfm,92,19.939,1,1,1
projected_velocity_cfm,93,19.8943,0,1,0
projected_velocity_cfm,94,20.0511,1,1,1
projected_velocity_cfm,95,22.1615,1,1,1
projected_velocity_cfm,96,19.2503,0,1,0
projected_velocity_cfm,97,19.3915,1,1,1
projected_velocity_cfm,98,19.8269,0,1,0
projected_velocity_cfm,99,21.3665,0,1,0
projected_velocity_cfm,100,20.2608,1,1,1
projected_velocity_cfm,101,20.1022,1,1,1
projected_velocity_cfm,102,19.2701,0,1,0
projected_velocity_cfm,103,24.6597,1,1,1
projected_velocity_cfm,104,19.9963,1,1,1
projected_velocity_cfm,105,19.3789,1,1,1
projected_velocity_cfm,106,26.9588,1,1,1
projected_velocity_cfm,107,22.1007,1,1,1
projected_velocity_cfm,108,21.8819,1,1,1
projected_velocity_cfm,109,19.4584,0,1,0
projected_velocity_cfm,110,19.7894,1,1,1
projected_velocity_cfm,111,20.1717,1,1,1
projected_velocity_cfm,112,19.9937,1,1,1
projected_velocity_cfm,113,22.4437,1,1,1
projected_velocity_cfm,114,20.245,1,1,1
projected_velocity_cfm,115,22.4819,1,1,1
projected_velocity_cfm,116,19.4785,1,1,1
projected_velocity_cfm,117,19.6671,0,1,0
projected_velocity_cfm,118,24.1024,0,1,0
projected_velocity_cfm,119,19.5887,1,1,1
projected_velocity_cfm,120,19.6574,0,1,0
projected_velocity_cfm,121,20.5291,0,1,0
projected_velocity_cfm,122,20.4576,1,1,1
projected_velocity_cfm,123,19.9954,0,1,0
projected_velocity_cfm,124,20.0567,1,1,1
projected_velocity_cfm,125,22.5273,0,1,0
projected_velocity_cfm,126,22.9685,1,1,1
projected_velocity_cfm,127,19.9962,1,1,1
boundary_only,0,20.3667,0,1,0
boundary_only,1,19.8613,0,1,0
boundary_only,2,20.908,0,1,0
boundary_only,3,19.7263,0,1,0
boundary_only,4,19.5375,0,1,0
boundary_only,5,20.5069,0,1,0
boundary_only,6,19.5256,0,1,0
boundary_only,7,20.131,0,1,0
boundary_only,8,20.3997,0,1,0
boundary_only,9,19.4314,0,1,0
boundary_only,10,20.0005,0,1,0
boundary_only,11,19.8711,0,1,0
boundary_only,12,20.4029,0,1,0
boundary_only,13,19.8351,0,1,0
boundary_only,14,20.7888,0,1,0
boundary_only,15,20.3007,0,1,0
boundary_only,16,20.0618,0,1,0
boundary_only,17,20.6217,0,1,0
boundary_only,18,23.3281,0,1,0
boundary_only,19,22.9071,0,1,0
boundary_only,20,21.0578,0,1,0
boundary_only,21,21.4206,0,1,0
boundary_only,22,20.6832,0,1,0
boundary_only,23,20.3745,0,1,0
boundary_only,24,20.4812,0,1,0
boundary_only,25,20.1709,0,1,0
boundary_only,26,19.7195,0,1,0
boundary_only,27,20.4044,0,1,0
boundary_only,28,19.9931,0,1,0
boundary_only,29,19.8708,0,1,0
boundary_only,30,22.94,0,1,0
boundary_only,31,20.1027,0,1,0
boundary_only,32,19.8949,0,1,0
boundary_only,33,19.6687,0,1,0
boundary_only,34,20.3658,0,1,0
boundary_only,35,19.8135,0,1,0
boundary_only,36,20.3583,0,1,0
boundary_only,37,20.0811,0,1,0
boundary_only,38,21.7162,0,1,0
boundary_only,39,21.6821,0,1,0
boundary_only,40,20.0661,0,1,0
boundary_only,41,19.858,0,1,0
boundary_only,42,22.9354,0,1,0
boundary_only,43,19.8341,0,1,0
boundary_only,44,24.7515,0,1,0
boundary_only,45,24.3117,0,1,0
boundary_only,46,21.9071,0,1,0
boundary_only,47,21.1276,0,1,0
boundary_only,48,21.3563,0,1,0
boundary_only,49,20.4547,0,1,0
boundary_only,50,22.6332,0,1,0
boundary_only,51,21.6531,0,1,0
boundary_only,52,20.9399,0,1,0
boundary_only,53,23.4169,0,1,0
boundary_only,54,20.1729,0,1,0
boundary_only,55,20.1266,0,1,0
boundary_only,56,24.4747,0,1,0
boundary_only,57,23.3683,0,1,0
boundary_only,58,21.4899,0,1,0
boundary_only,59,23.2392,0,1,0
boundary_only,60,20.2669,0,1,0
boundary_only,61,22.3439,0,1,0
boundary_only,62,20.6516,0,1,0
boundary_only,63,23.1436,0,1,0
boundary_only,64,24.9659,0,1,0
boundary_only,65,24.2255,0,1,0
boundary_only,66,24.6839,0,1,0
boundary_only,67,27.6815,0,1,0
boundary_only,68,21.4144,0,1,0
boundary_only,69,20.7817,0,1,0
boundary_only,70,20.053,0,1,0
boundary_only,71,22.164,0,1,0
boundary_only,72,19.989,0,1,0
boundary_only,73,25.0811,0,1,0
boundary_only,74,24.9674,0,1,0
boundary_only,75,24.1471,0,1,0
boundary_only,76,21.1113,0,1,0
boundary_only,77,26.8928,0,1,0
boundary_only,78,20.7289,0,1,0
boundary_only,79,23.024,0,1,0
boundary_only,80,22.7918,0,1,0
boundary_only,81,30.671,0,1,0
boundary_only,82,25.2596,0,1,0
boundary_only,83,29.084,0,1,0
boundary_only,84,20.3913,0,1,0
boundary_only,85,19.2391,0,1,0
boundary_only,86,21.1314,0,1,0
boundary_only,87,19.747,0,1,0
