candidates,ode_steps,query,latency_ms
1,16,0,63.74739995226264
1,16,1,69.44269989617169
1,16,2,64.40329994075
1,16,3,69.14880010299385
1,16,4,73.50009982474148
1,16,5,69.89459996111691
1,16,6,71.49460003711283
1,16,7,77.36280001699924
1,16,8,66.19680020958185
1,16,9,73.60140001401305
1,16,10,70.61109994538128
1,16,11,67.42110010236502
1,16,12,65.7387999817729
1,16,13,77.4173999670893
1,16,14,61.7253000382334
1,16,15,65.28690014965832
1,16,16,65.30939997173846
1,16,17,59.60240005515516
1,16,18,59.61699993349612
1,16,19,62.712599989026785
1,16,20,61.9123000651598
1,16,21,62.83680000342429
1,16,22,62.233599834144115
1,16,23,63.3559999987483
1,16,24,67.2601000405848
1,16,25,63.79520008340478
1,16,26,65.79530006274581
1,16,27,61.30930013023317
1,16,28,58.755100006237626
1,16,29,67.77970003895462
1,16,30,63.18699987605214
1,16,31,63.828299986198545
1,16,32,59.97639987617731
1,16,33,60.323100071400404
1,16,34,61.93089997395873
1,16,35,62.467000214383006
1,16,36,63.71500017121434
1,16,37,62.872299924492836
1,16,38,63.33160004578531
1,16,39,63.03800013847649
1,16,40,61.0408999491483
1,16,41,58.31770016811788
1,16,42,61.86560005880892
1,16,43,63.21579986251891
1,16,44,60.16550003550947
1,16,45,59.83370007015765
1,16,46,60.444300062954426
1,16,47,58.263299986720085
1,16,48,63.95429978147149
1,16,49,61.364199966192245
1,16,50,61.85460020788014
1,16,51,61.17219990119338
1,16,52,79.97570000588894
1,16,53,65.09960000403225
1,16,54,61.23590003699064
1,16,55,61.3559999037534
1,16,56,67.70420004613698
1,16,57,78.08650005608797
1,16,58,64.58750017918646
1,16,59,67.43049994111061
1,16,60,61.36889988556504
1,16,61,64.86260006204247
1,16,62,60.79889996908605
1,16,63,63.21399984881282
4,8,0,89.09599995240569
4,8,1,83.90129986219108
4,8,2,81.67149988003075
4,8,3,81.83819986879826
4,8,4,85.11759992688894
4,8,5,86.65909990668297
4,8,6,84.14199994876981
4,8,7,84.37399985268712
4,8,8,87.9145001526922
4,8,9,81.78490004502237
4,8,10,81.43280004151165
4,8,11,81.76629990339279
4,8,12,80.54849994368851
4,8,13,84.3289999756962
4,8,14,90.62930010259151
4,8,15,87.25380012765527
4,8,16,85.85999999195337
4,8,17,83.98259989917278
4,8,18,88.20270001888275
4,8,19,82.24490005522966
4,8,20,82.7574001159519
4,8,21,86.1239000223577
4,8,22,92.29879989288747
4,8,23,79.2930000461638
4,8,24,80.21759986877441
4,8,25,79.24590003676713
4,8,26,83.56770011596382
4,8,27,82.20760012045503
4,8,28,84.76919983513653
4,8,29,82.86859979853034
4,8,30,86.24179987236857
4,8,31,90.54429992102087
4,8,32,85.47980012372136
4,8,33,84.58880009129643
4,8,34,95.53860011510551
4,8,35,91.84620017185807
4,8,36,91.57049981877208
4,8,37,80.9241000097245
4,8,38,80.84969990886748
4,8,39,80.68390004336834
4,8,40,83.67449999786913
4,8,41,85.18050005659461
4,8,42,81.26580016687512
4,8,43,89.60970002226532
4,8,44,83.96290009841323
4,8,45,81.3436999451369
4,8,46,93.31890009343624
4,8,47,90.70009994320571
4,8,48,96.81100002489984
4,8,49,81.11119992099702
4,8,50,78.65659985691309
4,8,51,81.2389999628067
4,8,52,84.49329994618893
4,8,53,81.4211000688374
4,8,54,83.2717998418957
4,8,55,90.88599984534085
4,8,56,82.26230018772185
4,8,57,80.14749991707504
4,8,58,82.05670001916587
4,8,59,80.11139999143779
4,8,60,81.85580000281334
4,8,61,86.65760001167655
4,8,62,83.97530019283295
4,8,63,90.87559999898076
8,16,0,299.68779999762774
8,16,1,319.3432001862675
8,16,2,301.8223999533802
8,16,3,263.0523999687284
8,16,4,257.1942999493331
8,16,5,261.925500119105
8,16,6,278.5376999527216
8,16,7,282.2747998870909
8,16,8,264.52969992533326
8,16,9,260.0359001662582
8,16,10,259.39429993741214
8,16,11,275.89769987389445
8,16,12,275.3607998602092
8,16,13,267.748000100255
8,16,14,257.8584998846054
8,16,15,276.83029999025166
8,16,16,275.7692998275161
8,16,17,289.3769999500364
8,16,18,260.2991000749171
8,16,19,274.80600005947053
8,16,20,255.365600110963
8,16,21,277.87699992768466
8,16,22,270.2017000410706
8,16,23,257.8511999454349
8,16,24,251.1637001298368
8,16,25,250.44670002534986
8,16,26,246.62260012701154
8,16,27,257.9375000204891
8,16,28,246.20799999684095
8,16,29,247.41259985603392
8,16,30,246.19029997847974
8,16,31,248.11309995129704
8,16,32,246.36870017275214
8,16,33,247.82239994965494
8,16,34,246.0046000778675
8,16,35,247.79010005295277
8,16,36,244.47569996118546
8,16,37,247.288899961859
8,16,38,253.39470012113452
8,16,39,246.96909985505044
8,16,40,245.5935999751091
8,16,41,252.29880004189909
8,16,42,247.7747001685202
8,16,43,255.7898999657482
8,16,44,247.2812000196427
8,16,45,247.28960008360445
8,16,46,250.60389982536435
8,16,47,253.51619999855757
8,16,48,246.1391999386251
8,16,49,252.57360003888607
8,16,50,249.7599001508206
8,16,51,247.96529999002814
8,16,52,248.00770008005202
8,16,53,245.4990998376161
8,16,54,254.77110012434423
8,16,55,249.910700134933
8,16,56,247.26200010627508
8,16,57,246.87299993820488
8,16,58,245.9448000881821
8,16,59,248.12510004267097
8,16,60,255.63679984770715
8,16,61,247.33879999257624
8,16,62,246.64969998411834
8,16,63,252.460400108248
