sample,method,both_passed,collision,margin_violation,minimum_separation_m,start_error_m,goal_error_m,expert_rmse_m,maximum_speed_mps,maximum_acceleration_mps2,hocbf_intervention_rate,mean_hocbf_correction
0,nash_reference,1.0,0.0,1.0,0.29987212817707554,0.0,0.0,0.013678992167115211,1.42262864112854,2.247957706451416,0.0,0.0
0,teacher_expert,1.0,0.0,0.0,0.3668384150203546,0.0,0.023175640031695366,0.0,1.4158624410629272,2.212080240249634,0.0,0.0
0,game_cfm_raw,1.0,0.0,1.0,0.34175771525356924,0.0012873844243586063,0.022222254425287247,0.020101875066757202,1.4612301588058472,2.3049380779266357,0.0,0.0
0,game_cfm_anchored,1.0,0.0,1.0,0.3335487792811096,0.0,0.0,0.016658092113579537,1.458960147900403,2.304940202347301,0.0,0.0
0,nash_reference_hocbf,1.0,0.0,0.0,0.3665286265453353,0.0,0.02321293868755235,0.0016256892966277736,1.4057067536065955,2.155167925177133,0.1542649727767695,0.46027296514830995
0,game_cfm_hocbf,1.0,0.0,0.0,0.38501994551859503,0.0,0.023999396055888432,0.008621996326685666,1.440559800337676,2.206019327694939,0.14519056261343014,0.42140208674705193
1,nash_reference,1.0,0.0,1.0,0.3065772078570152,0.0,0.0,0.022413505241274834,1.3292044401168823,1.9586522579193115,0.0,0.0
1,teacher_expert,1.0,0.0,0.0,0.4166758903528634,0.0,0.035907380282878876,0.0,1.3389493227005005,1.9611579179763794,0.0,0.0
1,game_cfm_raw,1.0,0.0,1.0,0.3477277947913824,0.00803403276950121,0.03271191194653511,0.024394424632191658,1.3476418256759644,2.139540672302246,0.0,0.0
1,game_cfm_anchored,1.0,0.0,1.0,0.3231595194957988,0.0,0.0,0.02264016205704479,1.351598310395951,2.1395379666493577,0.0,0.0
1,nash_reference_hocbf,1.0,0.0,0.0,0.41575719399567246,0.0,0.035907609151912386,0.0016691975397568133,1.3279824838278886,1.89122167814804,0.18148820326678766,0.6599153416007464
1,game_cfm_hocbf,1.0,0.0,0.0,0.42619137520904016,0.0,0.03473754690491014,0.011386529564477834,1.3342388561109193,2.0754703694674284,0.17422867513611615,0.6337996876350916
2,nash_reference,1.0,0.0,1.0,0.299115413687748,0.0,0.0,0.020935367792844772,1.2338835000991821,1.6849932670593262,0.0,0.0
2,teacher_expert,1.0,0.0,0.0,0.4222057965830006,0.0,0.029949702322483063,0.0,1.2559136152267456,1.7048996686935425,0.0,0.0
2,game_cfm_raw,1.0,0.0,1.0,0.3571298119361239,0.0034252807963639498,0.03688925504684448,0.02913668565452099,1.2489031553268433,1.8321563005447388,0.0,0.0
2,game_cfm_anchored,1.0,0.0,1.0,0.3369172569792054,0.0,0.0,0.022799872691286104,1.2572074340587882,1.8321573937356237,0.0,0.0
2,nash_reference_hocbf,1.0,0.0,0.0,0.42129173953576093,0.0,0.029873685836186138,0.0014122165655651184,1.2452186981224853,1.67292003390719,0.10707803992740472,0.5287133364619038
2,game_cfm_hocbf,1.0,0.0,0.0,0.4525552788922625,0.0,0.02967928605381611,0.01531413031214376,1.257534375166483,1.8028055104118215,0.09437386569872959,0.5543501775451392
3,nash_reference,1.0,0.0,1.0,0.30402385539302285,0.0,0.0,0.016245640814304352,1.3323428630828857,1.9593759775161743,0.0,0.0
3,teacher_expert,1.0,0.0,0.0,0.4180062562222111,0.0,0.014950588345527649,0.0,1.3376131057739258,1.9699031114578247,0.0,0.0
3,game_cfm_raw,1.0,0.0,1.0,0.3017454931487986,0.008420688100159168,0.028569333255290985,0.02075597643852234,1.346204161643982,1.9824719429016113,0.0,0.0
3,game_cfm_anchored,1.0,0.0,1.0,0.2844603808397172,0.0,0.0,0.018807780033495716,1.3486190328498733,1.9824753126710122,0.0,0.0
3,nash_reference_hocbf,1.0,0.0,0.0,0.4173404503244087,0.0,0.014875994203053716,0.001625576316403583,1.3259582201394757,1.9005843071912987,0.16696914700544466,0.5281738906214062
3,game_cfm_hocbf,1.0,0.0,0.0,0.41164500953443756,0.0,0.016062293245234557,0.009343304873812262,1.3110368795483645,1.883813788826599,0.16515426497277677,0.5681022231199625
4,nash_reference,1.0,0.0,1.0,0.3020585076420581,0.0,0.0,0.019671902060508728,1.29354989528656,1.8042192459106445,0.0,0.0
4,teacher_expert,1.0,0.0,0.0,0.41010051203450076,0.0,0.029760219156742096,0.0,1.306606411933899,1.8184971809387207,0.0,0.0
4,game_cfm_raw,1.0,0.0,0.0,0.4347082354549081,0.0023005404509603977,0.03677072003483772,0.023907266557216644,1.2955303192138672,1.8244086503982544,0.0,0.0
4,game_cfm_anchored,1.0,0.0,0.0,0.42045399885949847,0.0,0.0,0.018071162260204898,1.2978653464527858,1.824405784803794,0.0,0.0
4,nash_reference_hocbf,1.0,0.0,0.0,0.4097258861030648,0.0,0.02974211153108822,0.0014510350269491684,1.2956873658903671,1.7574306986366839,0.10163339382940109,0.602298696135221
4,game_cfm_hocbf,1.0,0.0,0.0,0.4396014638508163,0.0,0.02936048473563406,0.00685409862086069,1.3005705653134483,1.7291975765237142,0.0,0.0
5,nash_reference,1.0,0.0,1.0,0.2942189795066262,0.0,0.0,0.015436944551765919,1.0767626762390137,1.4796173572540283,0.0,0.0
5,teacher_expert,1.0,0.0,0.0,0.3979373282564472,0.0,0.019254077225923538,0.0,1.0982143878936768,1.489738941192627,0.0,0.0
5,game_cfm_raw,1.0,0.0,1.0,0.2669564589992547,0.0031636646017432213,0.034508753567934036,0.02380974031984806,1.1377124786376953,1.7052136659622192,0.0,0.0
5,game_cfm_anchored,1.0,0.0,1.0,0.28160794500671715,0.0,0.0,0.018124285019640668,1.1317971064495995,1.7052172388796607,0.0,0.0
5,nash_reference_hocbf,1.0,0.0,0.0,0.397380199213023,0.0,0.019189194025308238,0.0011973473140557873,1.0893335724827597,1.4397060954391092,0.11070780399274047,0.4866943732917859
5,game_cfm_hocbf,1.0,0.0,0.0,0.4012704089278816,0.0,0.01946916821183143,0.010422891569754048,1.099694343543281,1.6586675649300207,0.1161524500907441,0.566679975679743
6,nash_reference,1.0,0.0,1.0,0.3028039522833533,0.0,0.0,0.02104845829308033,1.532855749130249,2.3809804916381836,0.0,0.0
6,teacher_expert,1.0,0.0,0.0,0.3831637324099808,0.0,0.034242261201143265,0.0,1.5244274139404297,2.3503551483154297,0.0,0.0
6,game_cfm_raw,1.0,0.0,1.0,0.34237242314688043,0.0029930928722023964,0.02842007949948311,0.0290007796138525,1.5449961423873901,2.575967788696289,0.0,0.0
6,game_cfm_anchored,1.0,0.0,1.0,0.34098843099412707,0.0,0.0,0.02263877297244365,1.545038746390214,2.57596834290971,0.0,0.0
6,nash_reference_hocbf,1.0,0.0,0.0,0.38278918447809174,0.0,0.03427834403536101,0.001823079258699968,1.507798359554569,2.290959974058895,0.16696914700544466,0.541500786100269
6,game_cfm_hocbf,1.0,0.0,0.0,0.38592891922943445,0.0,0.03432953764847797,0.009102708251515578,1.5059094753186315,2.4458788677264813,0.14337568058076225,0.36605157982206527
7,nash_reference,1.0,0.0,1.0,0.2981915793328838,0.0,0.0,0.014527158811688423,1.2348861694335938,1.7793245315551758,0.0,0.0
7,teacher_expert,1.0,0.0,0.0,0.39490516212883664,0.0,0.01928599923849106,0.0,1.262864351272583,1.8056169748306274,0.0,0.0
