sample,method,both_passed,collision,margin_violation,minimum_separation_m,start_error_m,goal_error_m,expert_rmse_m,maximum_speed_mps,maximum_acceleration_mps2,hocbf_intervention_rate,mean_hocbf_correction
0,nash_reference,1.0,0.0,1.0,0.29987212817707554,0.0,0.0,0.013678992167115211,1.42262864112854,2.247957706451416,0.0,0.0
0,teacher_expert,1.0,0.0,0.0,0.3668384150203546,0.0,0.023175640031695366,0.0,1.4158624410629272,2.212080240249634,0.0,0.0
0,game_cfm_raw,1.0,0.0,0.0,0.3893217792713067,0.0065440163016319275,0.025611916556954384,0.01923680119216442,1.435755729675293,2.225574254989624,0.0,0.0
0,game_cfm_anchored,1.0,0.0,0.0,0.39093657431834855,0.0,0.0,0.01581095437724783,1.4375140904359816,2.225575888250801,0.0,0.0
0,nash_reference_hocbf,1.0,0.0,0.0,0.3665286265453353,0.0,0.02321293868755235,0.0016256892966277736,1.4057067536065955,2.155167925177133,0.1542649727767695,0.46027296514830995
0,game_cfm_hocbf,1.0,0.0,0.0,0.38154351058837804,0.0,0.02354002623742329,0.007423078427148128,1.4202572313689443,2.166458859329393,0.07259528130671507,0.15834473370268148
1,nash_reference,1.0,0.0,1.0,0.3065772078570152,0.0,0.0,0.022413505241274834,1.3292044401168823,1.9586522579193115,0.0,0.0
1,teacher_expert,1.0,0.0,0.0,0.4166758903528634,0.0,0.035907380282878876,0.0,1.3389493227005005,1.9611579179763794,0.0,0.0
1,game_cfm_raw,1.0,0.0,0.0,0.4104542123755631,0.0031639698427170515,0.017737383022904396,0.017219917848706245,1.3415892124176025,2.035350799560547,0.0,0.0
1,game_cfm_anchored,1.0,0.0,0.0,0.40967710110314604,0.0,0.0,0.019035296513486583,1.345438443337197,2.035352047803404,0.0,0.0
1,nash_reference_hocbf,1.0,0.0,0.0,0.41575719399567246,0.0,0.035907609151912386,0.0016691975397568133,1.3279824838278886,1.89122167814804,0.18148820326678766,0.6599153416007464
1,game_cfm_hocbf,1.0,0.0,0.0,0.44459075496387873,0.0,0.03590599587520726,0.009160464654512559,1.3337982064061336,1.90888875694842,0.14882032667876588,0.4350737174982935
2,nash_reference,1.0,0.0,1.0,0.299115413687748,0.0,0.0,0.020935367792844772,1.2338835000991821,1.6849932670593262,0.0,0.0
2,teacher_expert,1.0,0.0,0.0,0.4222057965830006,0.0,0.029949702322483063,0.0,1.2559136152267456,1.7048996686935425,0.0,0.0
2,game_cfm_raw,1.0,0.0,0.0,0.3805846604320666,0.003268991596996784,0.03343066945672035,0.02822784148156643,1.221061110496521,2.0167415142059326,0.0,0.0
2,game_cfm_anchored,1.0,0.0,0.0,0.36625152462229194,0.0,0.0,0.022155484627024706,1.2210080995760562,2.0167398926831948,0.0,0.0
2,nash_reference_hocbf,1.0,0.0,0.0,0.42129173953576093,0.0,0.029873685836186138,0.0014122165655651184,1.2452186981224853,1.67292003390719,0.10707803992740472,0.5287133364619038
2,game_cfm_hocbf,1.0,0.0,0.0,0.4229485367260297,0.0,0.031522307453335306,0.010665605117368943,1.2217050132106442,1.7159345656661793,0.08166969147005444,0.16650556047087825
3,nash_reference,1.0,0.0,1.0,0.30402385539302285,0.0,0.0,0.016245640814304352,1.3323428630828857,1.9593759775161743,0.0,0.0
3,teacher_expert,1.0,0.0,0.0,0.4180062562222111,0.0,0.014950588345527649,0.0,1.3376131057739258,1.9699031114578247,0.0,0.0
3,game_cfm_raw,1.0,0.0,1.0,0.35464449125940584,0.0036486543249338865,0.025849798694252968,0.020507551729679108,1.4240931272506714,1.970571756362915,0.0,0.0
3,game_cfm_anchored,1.0,0.0,0.0,0.3639024119331965,0.0,0.0,0.014777787011440852,1.4260486428546901,1.9705752630670432,0.0,0.0
3,nash_reference_hocbf,1.0,0.0,0.0,0.4173404503244087,0.0,0.014875994203053716,0.001625576316403583,1.3259582201394757,1.9005843071912987,0.16696914700544466,0.5281738906214062
3,game_cfm_hocbf,1.0,0.0,0.0,0.4409867953925738,0.0,0.015395538322027561,0.011869875953853037,1.4129544722254894,1.8363281423230922,0.15970961887477314,0.4338437772263682
4,nash_reference,1.0,0.0,1.0,0.3020585076420581,0.0,0.0,0.019671902060508728,1.29354989528656,1.8042192459106445,0.0,0.0
4,teacher_expert,1.0,0.0,0.0,0.41010051203450076,0.0,0.029760219156742096,0.0,1.306606411933899,1.8184971809387207,0.0,0.0
4,game_cfm_raw,1.0,0.0,0.0,0.3852158128894998,0.0025477008894085884,0.023729640990495682,0.01751570589840412,1.2928547859191895,2.0301523208618164,0.0,0.0
4,game_cfm_anchored,1.0,0.0,0.0,0.3867703739757367,0.0,0.0,0.016367044628685466,1.2949629043486781,2.030148018469608,0.0,0.0
4,nash_reference_hocbf,1.0,0.0,0.0,0.4097258861030648,0.0,0.02974211153108822,0.0014510350269491684,1.2956873658903671,1.7574306986366839,0.10163339382940109,0.602298696135221
4,game_cfm_hocbf,1.0,0.0,0.0,0.42430121558211864,0.0,0.031105015834157333,0.006809246698534083,1.2900025166989422,1.8445945427250863,0.05263157894736842,0.24796138239189783
5,nash_reference,1.0,0.0,1.0,0.2942189795066262,0.0,0.0,0.015436944551765919,1.0767626762390137,1.4796173572540283,0.0,0.0
5,teacher_expert,1.0,0.0,0.0,0.3979373282564472,0.0,0.019254077225923538,0.0,1.0982143878936768,1.489738941192627,0.0,0.0
5,game_cfm_raw,1.0,0.0,0.0,0.36977232396059867,0.002417613985016942,0.014742892235517502,0.014059854671359062,1.1018600463867188,1.4802724123001099,0.0,0.0
5,game_cfm_anchored,1.0,0.0,0.0,0.37672476870636623,0.0,0.0,0.011184823918383633,1.1024123538430306,1.4802734668049353,0.0,0.0
5,nash_reference_hocbf,1.0,0.0,0.0,0.397380199213023,0.0,0.019189194025308238,0.0011973473140557873,1.0893335724827597,1.4397060954391092,0.11070780399274047,0.4866943732917859
5,game_cfm_hocbf,1.0,0.0,0.0,0.4241094287274554,0.0,0.019101576325957735,0.005788308177703421,1.0947433108908724,1.4173626917932851,0.056261343012704176,0.27165694153195663
6,nash_reference,1.0,0.0,1.0,0.3028039522833533,0.0,0.0,0.02104845829308033,1.532855749130249,2.3809804916381836,0.0,0.0
6,teacher_expert,1.0,0.0,0.0,0.3831637324099808,0.0,0.034242261201143265,0.0,1.5244274139404297,2.3503551483154297,0.0,0.0
6,game_cfm_raw,1.0,0.0,0.0,0.3806792833169438,0.003197926562279463,0.012921489775180817,0.022121082991361618,1.554274559020996,2.495514392852783,0.0,0.0
6,game_cfm_anchored,1.0,0.0,0.0,0.38120733666707884,0.0,0.0,0.02073744136423259,1.5528260211696563,2.495513627434041,0.0,0.0
6,nash_reference_hocbf,1.0,0.0,0.0,0.38278918447809174,0.0,0.03427834403536101,0.001823079258699968,1.507798359554569,2.290959974058895,0.16696914700544466,0.541500786100269
6,game_cfm_hocbf,1.0,0.0,0.0,0.40453995899018824,0.0,0.03412735080951895,0.006461314807688612,1.5272840169815098,2.391235730261428,0.12885662431941924,0.39297942554352533
7,nash_reference,1.0,0.0,1.0,0.2981915793328838,0.0,0.0,0.014527158811688423,1.2348861694335938,1.7793245315551758,0.0,0.0
7,teacher_expert,1.0,0.0,0.0,0.39490516212883664,0.0,0.01928599923849106,0.0,1.262864351272583,1.8056169748306274,0.0,0.0
