method,metric,samples,phase2_minus_phase1_mean,ci95_lower,ci95_upper
game_cfm_anchored,collision,256,0.0,0.0,0.0
game_cfm_anchored,margin_violation,256,-0.12109375,-0.16796875,-0.078125
game_cfm_anchored,minimum_separation_m,256,0.00804587947484001,0.006320340716108976,0.009840806419530059
game_cfm_anchored,hocbf_intervention_rate,256,0.0,0.0,0.0
game_cfm_anchored,mean_hocbf_correction,256,0.0,0.0,0.0
game_cfm_anchored,expert_rmse_m,256,-0.0002443072066833765,-0.00045503683299388955,-3.546450127971685e-05
game_cfm_anchored,maximum_acceleration_mps2,256,-0.009605703330378402,-0.023712832533039668,0.0036265023871693983
game_cfm_hocbf,collision,256,0.0,0.0,0.0
game_cfm_hocbf,margin_violation,256,-0.00390625,-0.01171875,0.0
game_cfm_hocbf,minimum_separation_m,256,0.0031073792090436448,0.002278763295768968,0.003928586417494066
game_cfm_hocbf,hocbf_intervention_rate,256,-0.003636853448275862,-0.005068908802177858,-0.00224024500907441
game_cfm_hocbf,mean_hocbf_correction,256,-0.02205043673797845,-0.03318667574333831,-0.011223115443684614
game_cfm_hocbf,expert_rmse_m,256,0.00026441438688854456,5.315913513657163e-05,0.000459966320939778
game_cfm_hocbf,maximum_acceleration_mps2,256,-0.0008980054137363892,-0.007646806610182262,0.005460529353443896
