scenario,seed,method,trajectory_index,both_passed,collision,margin_violation,minimum_separation_m,crossing_gap_s,tracking_rmse_mean_m,maximum_tracking_error_m,maximum_tilt_degrees,motor_saturation_fraction
severe,8101,nash_reference,0,1,1,1,0.20838956458448665,0.08955952480075435,0.19838482448701739,0.2937579524170361,21.894434710837213,0.0
severe,8101,nash_reference,1,1,0,0,0.4377038481398743,0.64905267035768,0.1375499906741422,0.17949278683920133,16.321482316988988,0.0
severe,8101,teacher_expert,0,1,1,1,0.18178665619872275,0.19243866847848512,0.19829153179742537,0.29354657126904143,21.20077955158831,0.0
severe,8101,teacher_expert,1,1,0,0,0.5057607091106645,0.7654690369738912,0.1373530267287007,0.179402191344562,19.769278234176852,0.0
severe,8101,nash_reference_hocbf,0,1,1,1,0.2228350037900244,0.33857321219912473,0.19832963919691626,0.2925199578849007,20.055765160953868,0.0
severe,8101,nash_reference_hocbf,1,1,0,0,0.5057652100846185,0.8505844922309509,0.13715448986755086,0.17891874445420697,17.931942808975354,0.0
severe,8101,phase1_cfm_hocbf,0,1,1,1,0.2147181477697272,0.33773856421530546,0.19942194756681456,0.2932419802553608,20.981361611294172,0.0
severe,8101,phase1_cfm_hocbf,1,1,0,0,0.5057684412214453,0.8950884338512048,0.13581924603587892,0.17852865968913784,24.50914837626399,0.0
severe,8101,phase2_guided_cfm_hocbf,0,1,1,1,0.22218521731662408,0.34019770338761024,0.20134765824548378,0.297740831233708,22.327996583224493,0.0
severe,8101,phase2_guided_cfm_hocbf,1,1,0,0,0.5057684412214453,0.893761668788962,0.13591795879646582,0.17906787009131925,25.26200961530722,0.0
