scenario,seed,method,trajectory_index,both_passed,collision,margin_violation,minimum_separation_m,crossing_gap_s,tracking_rmse_mean_m,maximum_tracking_error_m,maximum_tilt_degrees,motor_saturation_fraction
severe,8101,nash_reference,0,1,1,1,0.20838956458448665,0.08955952480075435,0.19838482448701739,0.2937579524170361,21.894434710837213,0.0
severe,8101,nash_reference,1,1,0,0,0.4377038481398743,0.64905267035768,0.1375499906741422,0.17949278683920133,16.321482316988988,0.0
severe,8101,nash_reference,2,1,0,0,0.4037759162996603,0.7153525941834409,0.18934514722765478,0.23162141984419723,18.14694372238229,0.0
severe,8101,nash_reference,3,1,1,1,0.14015447132196562,0.013317483819834663,0.16492959295306764,0.21428249070027733,23.623124200343025,0.0
severe,8101,nash_reference,4,1,0,0,0.5182549712824296,0.8467361019454478,0.168116062384048,0.22224198395839664,22.743429013597407,0.0
severe,8101,nash_reference,5,1,0,0,0.5217612283277222,0.8763265167381857,0.18816683211016672,0.261258215744019,15.745171458623243,0.0
severe,8101,nash_reference,6,1,1,1,0.1965719327297991,0.29407106859907994,0.18331533736066985,0.2419325842274496,22.78986957471062,0.0
severe,8101,nash_reference,7,1,0,1,0.2933084332642932,0.48416370126191577,0.200617742656755,0.23838008593297344,18.1391024544187,0.0
severe,8101,teacher_expert,0,1,1,1,0.18178665619872275,0.19243866847848512,0.19829153179742537,0.29354657126904143,21.20077955158831,0.0
severe,8101,teacher_expert,1,1,0,0,0.5057607091106645,0.7654690369738912,0.1373530267287007,0.179402191344562,19.769278234176852,0.0
severe,8101,teacher_expert,2,1,0,0,0.4040153233210628,0.8625257921140461,0.18934765849109042,0.23133381519145774,18.196227200391732,0.0
severe,8101,teacher_expert,3,1,1,1,0.17122874117030937,0.15533784722785393,0.16421994957525415,0.2113774589343576,21.586075748304765,0.0
severe,8101,teacher_expert,4,1,0,0,0.5464016744597651,0.9369420846637433,0.16806285383823585,0.22100859765409314,24.347299272181893,0.0
severe,8101,teacher_expert,5,1,0,0,0.5217598699332211,0.9819915135912818,0.18816257186780183,0.26211546156213156,15.811770006681341,0.0
severe,8101,teacher_expert,6,1,1,1,0.24841722479729583,0.40306070308020026,0.18326334309944683,0.24228301411308403,22.58419536859727,0.0
severe,8101,teacher_expert,7,1,0,0,0.39048974522191443,0.5830033029891957,0.20069395706621465,0.2382522405757378,18.131706050200957,0.0
severe,8101,nash_reference_hocbf,0,1,0,1,0.3473644233261775,0.4333232589221341,0.1983578752442381,0.2894676931837794,19.87342061051989,0.0
severe,8101,nash_reference_hocbf,1,1,0,0,0.5057684412214453,0.9574814895946093,0.13589834040443644,0.1798671098654177,22.31404605440109,0.0
severe,8101,nash_reference_hocbf,2,1,0,0,0.46380611983248404,1.0516544953852356,0.18948938854750236,0.2322425902177259,18.021253834673207,0.0
severe,8101,nash_reference_hocbf,3,1,0,1,0.3512262256012161,0.4605686389486381,0.16951643997111845,0.22917134498330605,25.197575055722467,0.0
severe,8101,nash_reference_hocbf,4,1,0,0,0.6141593003246704,1.1054726066548524,0.16767995050594214,0.2173630956249532,22.506217415948782,0.0
