scenario,method,runs,both_pass_rate,collision_rate,margin_violation_rate,mean_minimum_separation_m,worst_minimum_separation_m,tracking_rmse_mean_m,tracking_rmse_p95_m,maximum_tracking_error_p95_m,maximum_tilt_p95_degrees,motor_saturation_mean
moderate,nash_reference,2,1.0,0.5,0.5,0.2775905628405901,0.19374349471344207,0.08487903311116014,0.10052575632548384,0.16516699498771367,16.758557605319236,0.0
moderate,nash_reference_hocbf,2,1.0,0.5,0.5,0.3538749758046043,0.24745401029723704,0.08478233486526005,0.10031483877911963,0.16526173721507487,16.473716814224233,0.0
moderate,phase1_cfm_hocbf,2,1.0,0.0,0.5,0.374276239879469,0.2548390884224414,0.08470182274910075,0.1008388253879529,0.16608100873687137,17.443748865033637,0.0
moderate,phase2_guided_cfm_hocbf,2,1.0,0.0,0.5,0.3759892910133432,0.2594481411078532,0.08499025244742253,0.10127302605431363,0.1674835138689659,18.407427884526772,0.0
moderate,teacher_expert,2,1.0,0.5,0.5,0.35355906839447454,0.2472387581892937,0.08478004337357478,0.10036978266853998,0.16538884154788153,16.124914565421108,0.0
nominal,nash_reference,2,1.0,0.0,1.0,0.29136189631802084,0.2834100421628108,0.04187257158770985,0.042635992259958636,0.0695923052953224,13.970145324422562,0.0
nominal,nash_reference_hocbf,2,1.0,0.0,0.5,0.38184871484855243,0.3543064789933821,0.04174875783485269,0.04239455873271959,0.06953804745249127,13.923251982711797,0.0
nominal,phase1_cfm_hocbf,2,1.0,0.0,0.0,0.4003271139154996,0.37015859728734407,0.04193149995181532,0.04265757320630657,0.07077454424048965,17.177691631689026,0.0
nominal,phase2_guided_cfm_hocbf,2,1.0,0.0,0.0,0.4016664247000482,0.3736121140476281,0.041935918205323636,0.042629251500853636,0.0710435159430759,17.21568159510707,0.0
nominal,teacher_expert,2,1.0,0.0,0.5,0.38212044997920014,0.35461403994516716,0.04179239985151868,0.04244268929250434,0.06989535471080462,13.689985449631655,0.0
severe,nash_reference,2,1.0,0.5,0.5,0.32304670636218047,0.20838956458448665,0.1679674075805798,0.19534308279637363,0.2880446941381444,21.615787091144803,0.0
severe,nash_reference_hocbf,2,1.0,0.5,0.5,0.3430481125368996,0.18033101498918064,0.16795500084281323,0.19546975034326478,0.288247648614789,20.883699626500466,0.0
severe,phase1_cfm_hocbf,2,1.0,0.5,0.5,0.3476614370151095,0.18955443280877374,0.16846205742113907,0.19718191832958046,0.2905263909419239,25.721509385656802,0.0
severe,phase2_guided_cfm_hocbf,2,1.0,0.5,0.5,0.35323902634629734,0.20070961147114935,0.1693903421482662,0.1989493587333868,0.29534785414124254,26.328413834970803,0.0
severe,teacher_expert,2,1.0,0.5,0.5,0.34377368265469366,0.18178665619872275,0.16782227926306303,0.19524460654398912,0.2878393522728175,21.12920448571774,0.0
