scenario,seed,method,trajectory_index,both_passed,collision,margin_violation,minimum_separation_m,crossing_gap_s,tracking_rmse_mean_m,maximum_tracking_error_m,maximum_tilt_degrees,motor_saturation_fraction
nominal,8101,nash_reference,0,1,0,1,0.2834100421628108,0.48051567053485167,0.04102432639632232,0.06989124077706074,13.970844431441932,0.0
nominal,8101,nash_reference,1,1,0,1,0.2993137504732309,0.5022507729619656,0.042720816779097386,0.0639125311422938,13.956862291054522,0.0
nominal,8101,teacher_expert,0,1,0,1,0.35461403994516716,0.573578215521029,0.0410698560282013,0.07019157713546442,13.372892710201771,0.0
nominal,8101,teacher_expert,1,1,0,0,0.40962686001323306,0.6495061136252593,0.042514943674836075,0.06426712864226844,13.706674541180597,0.0
nominal,8101,nash_reference_hocbf,0,1,0,1,0.3543064789933821,0.5663777397624359,0.04103120128166725,0.06980865211057563,13.933847511466967,0.0
nominal,8101,nash_reference_hocbf,1,1,0,0,0.40939095070372283,0.6393626008953686,0.042466314388038134,0.06439655894888854,13.721936936363566,0.0
nominal,8101,phase1_cfm_hocbf,0,1,0,0,0.37015859728734407,0.5746693932821101,0.041124751891269476,0.07091533001866905,14.226752937563125,0.0
nominal,8101,phase1_cfm_hocbf,1,1,0,0,0.43049563054365514,0.7013537100962954,0.04273824801236116,0.06809961445508114,17.333004194537757,0.0
nominal,8101,phase2_guided_cfm_hocbf,0,1,0,0,0.3736121140476281,0.5785828303165625,0.041165547876956976,0.07121208027152692,14.868405738957984,0.0
nominal,8101,phase2_guided_cfm_hocbf,1,1,0,0,0.42972073535246835,0.7004985198559766,0.0427062885336903,0.0678407937025063,17.339222429641232,0.0
moderate,8101,nash_reference,0,1,1,1,0.19374349471344207,0.2852026590678167,0.10226428112707536,0.16857892492951457,16.95449123149333,0.0
moderate,8101,nash_reference,1,1,0,0,0.36143763096773807,0.5822374271515827,0.06749378509524492,0.10034032609349694,13.03581870801152,0.0
moderate,8101,teacher_expert,0,1,1,1,0.2472387581892937,0.3893413723085706,0.10210197592353612,0.16885514597530837,16.28233764279255,0.0
moderate,8101,teacher_expert,1,1,0,0,0.4598793785996554,0.7157703652076892,0.06745811082361344,0.09952905742677176,13.133876095363659,0.0
moderate,8101,nash_reference_hocbf,0,1,1,1,0.24745401029723704,0.38389211219605723,0.10204067254732625,0.16873009690879384,16.701419753741273,0.0
moderate,8101,nash_reference_hocbf,1,1,0,0,0.46029594131197155,0.7034300991821485,0.06752399718319385,0.09936290303441428,12.14736096340044,0.0
moderate,8101,phase1_cfm_hocbf,0,1,0,1,0.2548390884224414,0.3928814746986311,0.1026318256811587,0.1696085889718009,17.51966376071616,0.0
moderate,8101,phase1_cfm_hocbf,1,1,0,0,0.4937133913364966,0.7775905437057662,0.0667718198170428,0.09905698427321068,16.001365847065703,0.0
moderate,8101,phase2_guided_cfm_hocbf,0,1,0,1,0.2594481411078532,0.3967305430362993,0.10308222312174598,0.17107170970346147,18.53622034384217,0.0
moderate,8101,phase2_guided_cfm_hocbf,1,1,0,0,0.4925304409188333,0.7760502420683817,0.0668982817730991,0.09930779301355014,15.960371157534214,0.0
severe,8101,nash_reference,0,1,1,1,0.20838956458448665,0.08955952480075435,0.19838482448701739,0.2937579524170361,21.894434710837213,0.0
severe,8101,nash_reference,1,1,0,0,0.4377038481398743,0.64905267035768,0.1375499906741422,0.17949278683920133,16.321482316988988,0.0
severe,8101,teacher_expert,0,1,1,1,0.18178665619872275,0.19243866847848512,0.19829153179742537,0.29354657126904143,21.20077955158831,0.0
severe,8101,teacher_expert,1,1,0,0,0.5057607091106645,0.7654690369738912,0.1373530267287007,0.179402191344562,19.769278234176852,0.0
severe,8101,nash_reference_hocbf,0,1,1,1,0.18033101498918064,0.18728976916046935,0.19852694473220384,0.29398136445654804,21.05436250681382,0.0
severe,8101,nash_reference_hocbf,1,1,0,0,0.5057652100846185,0.7544808204758588,0.13738305695342265,0.17930704762136732,17.641104900546743,0.0
severe,8101,phase1_cfm_hocbf,0,1,1,1,0.18955443280877374,0.19580932292655184,0.20037301398607393,0.2964037367862548,22.704590347598625,0.0
severe,8101,phase1_cfm_hocbf,1,1,0,0,0.5057684412214453,0.8333472989993529,0.13655110085620423,0.1788568198996368,25.88029459818618,0.0
severe,8101,phase2_guided_cfm_hocbf,0,1,1,1,0.20070961147114935,0.19773815598579247,0.2022336939095113,0.30144898967250133,24.32948366845549,0.0
severe,8101,phase2_guided_cfm_hocbf,1,1,0,0,0.5057684412214453,0.8317005868104452,0.1365469903870211,0.17942627904732528,26.43362068584003,0.0
