sample,method,both_passed,collision,margin_violation,minimum_separation_m,start_error_m,goal_error_m,expert_rmse_m,maximum_speed_mps,maximum_acceleration_mps2,hocbf_intervention_rate,mean_hocbf_correction
0,nash_reference,1.0,0.0,1.0,0.29987212817707554,0.0,0.0,0.013678992167115211,1.42262864112854,2.247957706451416,0.0,0.0
0,teacher_expert,1.0,0.0,0.0,0.3668384150203546,0.0,0.023175640031695366,0.0,1.4158624410629272,2.212080240249634,0.0,0.0
0,game_cfm_raw,1.0,0.0,0.0,0.38858873676805006,0.005372802726924419,0.024975501000881195,0.019696366041898727,1.4405196905136108,2.2118735313415527,0.0,0.0
0,game_cfm_anchored,1.0,0.0,0.0,0.3912440808008343,0.0,0.0,0.016169528347795278,1.4424886448744012,2.211870521334499,0.0,0.0
0,nash_reference_hocbf,1.0,0.0,0.0,0.4912194749438995,0.0,0.023202300303445382,0.022319924137420292,1.4209397520278013,2.0950526613440115,0.38475499092558985,0.6975812882040319
0,game_cfm_hocbf,1.0,0.0,0.0,0.4911249935727734,0.0,0.02374643916138276,0.021608915849537634,1.4363315492540145,2.0776374814523955,0.3793103448275862,0.4447833865028177
1,nash_reference,1.0,0.0,1.0,0.3065772078570152,0.0,0.0,0.022413505241274834,1.3292044401168823,1.9586522579193115,0.0,0.0
1,teacher_expert,1.0,0.0,0.0,0.4166758903528634,0.0,0.035907380282878876,0.0,1.3389493227005005,1.9611579179763794,0.0,0.0
1,game_cfm_raw,1.0,0.0,0.0,0.39709571623387574,0.0028009407687932253,0.036036208271980286,0.030433420091867447,1.3854222297668457,2.0664374828338623,0.0,0.0
1,game_cfm_anchored,1.0,0.0,0.0,0.3791775381502518,0.0,0.0,0.02391141120576192,1.3782916060530237,2.066438820065008,0.0,0.0
1,nash_reference_hocbf,1.0,0.0,0.0,0.4902006643031614,0.0,0.03163917305283901,0.017046841192501657,1.3133721465930661,1.89122167814804,0.5045372050816697,0.6069588589463247
1,game_cfm_hocbf,1.0,0.0,0.0,0.49031563666998484,0.0,0.029872306631884733,0.023634367114202963,1.335635794883554,1.8361478284995398,0.47005444646098005,0.6000592806229085
2,nash_reference,1.0,0.0,1.0,0.299115413687748,0.0,0.0,0.020935367792844772,1.2338835000991821,1.6849932670593262,0.0,0.0
2,teacher_expert,1.0,0.0,0.0,0.4222057965830006,0.0,0.029949702322483063,0.0,1.2559136152267456,1.7048996686935425,0.0,0.0
2,game_cfm_raw,1.0,0.0,0.0,0.3960757022868258,0.0024864664301276207,0.018391087651252747,0.017389168962836266,1.2638969421386719,1.9732824563980103,0.0,0.0
2,game_cfm_anchored,1.0,0.0,0.0,0.4013350047984711,0.0,0.0,0.015529892317471832,1.2624673287104884,1.9732868945638224,0.0,0.0
2,nash_reference_hocbf,1.0,0.0,0.0,0.5267468232611677,0.0,0.02972819611027869,0.011630281344071824,1.2683808970136903,1.690001529216304,0.1560798548094374,0.8777384924985454
2,game_cfm_hocbf,1.0,0.0,0.0,0.5305314141981559,0.0,0.03192470086909853,0.013179530192256662,1.2692721747856914,1.7709820493845394,0.14882032667876588,0.431444508480121
3,nash_reference,1.0,0.0,1.0,0.30402385539302285,0.0,0.0,0.016245640814304352,1.3323428630828857,1.9593759775161743,0.0,0.0
3,teacher_expert,1.0,0.0,0.0,0.4180062562222111,0.0,0.014950588345527649,0.0,1.3376131057739258,1.9699031114578247,0.0,0.0
3,game_cfm_raw,1.0,0.0,0.0,0.42219324202733305,0.00415736623108387,0.026336669921875,0.019804729148745537,1.344347357749939,2.0267691612243652,0.0,0.0
3,game_cfm_anchored,1.0,0.0,0.0,0.42743493553661666,0.0,0.0,0.012845644937337019,1.3414576896316723,2.026768969838707,0.0,0.0
3,nash_reference_hocbf,1.0,0.0,0.0,0.48506197493619696,0.0,0.03432444646717796,0.016954875943203364,1.3258809872120323,1.900112480417346,0.5390199637023594,0.5413185089087064
3,game_cfm_hocbf,1.0,0.0,0.0,0.48506197493619696,0.0,0.03559675455415465,0.020113813893380426,1.3473251359495024,2.0187863852604058,0.5117967332123412,0.37468846103667935
4,nash_reference,1.0,0.0,1.0,0.3020585076420581,0.0,0.0,0.019671902060508728,1.29354989528656,1.8042192459106445,0.0,0.0
4,teacher_expert,1.0,0.0,0.0,0.41010051203450076,0.0,0.029760219156742096,0.0,1.306606411933899,1.8184971809387207,0.0,0.0
4,game_cfm_raw,1.0,0.0,1.0,0.3585782913482607,0.0024810833856463432,0.033031363040208817,0.029859691858291626,1.2853519916534424,2.294769763946533,0.0,0.0
4,game_cfm_anchored,1.0,0.0,1.0,0.35619258314435137,0.0,0.0,0.021964324528495935,1.2846346747870387,2.294794437786958,0.0,0.0
4,nash_reference_hocbf,1.0,0.0,0.0,0.5138956539811091,0.0,0.029331800961653498,0.011875783567760886,1.2962709787771212,1.7495546708209806,0.24319419237749546,0.6572463300271101
4,game_cfm_hocbf,1.0,0.0,0.0,0.5164651724728726,0.0,0.031227218837632145,0.019254354815899582,1.2696192891220845,1.718981805618011,0.20689655172413793,0.5720734214143638
5,nash_reference,1.0,0.0,1.0,0.2942189795066262,0.0,0.0,0.015436944551765919,1.0767626762390137,1.4796173572540283,0.0,0.0
5,teacher_expert,1.0,0.0,0.0,0.3979373282564472,0.0,0.019254077225923538,0.0,1.0982143878936768,1.489738941192627,0.0,0.0
5,game_cfm_raw,1.0,0.0,0.0,0.3716199582579074,0.0011670298408716917,0.019812123849987984,0.015978507697582245,1.130881905555725,1.5275368690490723,0.0,0.0
5,game_cfm_anchored,1.0,0.0,0.0,0.3681557838467097,0.0,0.0,0.012968444783248972,1.130340504167532,1.5275359560666875,0.0,0.0
5,nash_reference_hocbf,1.0,0.0,0.0,0.49512562116550013,0.0,0.023039337424709885,0.017045984432587,1.097456912808592,1.4397060954391092,0.573502722323049,0.4304450204217927
5,game_cfm_hocbf,1.0,0.0,0.0,0.4952919250472879,0.0,0.02301834317281585,0.02204198316878235,1.1266981705849604,1.4771095451123482,0.5081669691470054,0.37381474674368115
6,nash_reference,1.0,0.0,1.0,0.3028039522833533,0.0,0.0,0.02104845829308033,1.532855749130249,2.3809804916381836,0.0,0.0
6,teacher_expert,1.0,0.0,0.0,0.3831637324099808,0.0,0.034242261201143265,0.0,1.5244274139404297,2.3503551483154297,0.0,0.0
6,game_cfm_raw,1.0,0.0,0.0,0.3811750550260617,0.0012383958091959357,0.0264333114027977,0.02625577338039875,1.550794243812561,2.364975929260254,0.0,0.0
6,game_cfm_anchored,1.0,0.0,0.0,0.3722999667879759,0.0,0.0,0.02258956738773144,1.551706416991404,2.3649764328472362,0.0,0.0
6,nash_reference_hocbf,1.0,0.0,0.0,0.4931851490682624,0.0,0.03427869265876619,0.021953524139483732,1.5165336692413465,2.227271367224406,0.3720508166969147,0.7784231195558563
6,game_cfm_hocbf,1.0,0.0,0.0,0.4990722837088542,0.0,0.03611067791879069,0.01965721503967965,1.5240964541791233,2.191434666776883,0.3139745916515426,0.743394892454222
7,nash_reference,1.0,0.0,1.0,0.2981915793328838,0.0,0.0,0.014527158811688423,1.2348861694335938,1.7793245315551758,0.0,0.0
7,teacher_expert,1.0,0.0,0.0,0.39490516212883664,0.0,0.01928599923849106,0.0,1.262864351272583,1.8056169748306274,0.0,0.0
